
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nuevo
dialog_load                             Cargar
dialog_save                             Guardar
dialog_saveas                           Guardar Como
dialog_delete                           Borrar
dialog_width                            Ancho
dialog_height                           Alto
dialog_name                             Nombre
dialog_type                             Tipo
dialog_x                                X
dialog_y                                Y
dialog_z								Z
dialog_w                                W
dialog_h                                H
dialog_exit                             Salir
dialog_cancel                           Cancelar
dialog_ok                               Ok
dialog_open                             Abrir
dialog_close                            Cerrar
dialog_closed                           Cerrado
dialog_add                              Añadir
dialog_up                               Arriba
dialog_down                             Abajo
dialog_yes                              Sí
dialog_no                               No
dialog_loading                          Cargando...
dialog_low                              Bajo
dialog_medium                           Medio
dialog_high                             Alto
dialog_none                             Ninguno
ellipsis                                ...

# =============================================================================
# Analytics Consent Dialog
# =============================================================================

analyticsconsentdialog_title           Coleccion de datos para Telemetría
analyticsconsentdialog_accept          Aceptar
analyticsconsentdialog_reject          Denegar
analyticsconsentdialog_moreinfo        Mas Informacion...
analyticsconsentdialog_text            We need to collect usage data to help us to better understand how people are playing and to help us to improve the game. \n\nWe do not collect any personally identifiable information. If you are OK with this please hit the Accept button.



# =============================================================================
# File Dialog
# =============================================================================

filedialog_title                       Elija un Archivo

# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title                      Dialog Editor
dialogeditor_back                       Back
dialogeditor_front                      Front
dialogeditor_reloadlanguage             Reload Language
dialogeditor_test                       Test
dialogeditor_window                     Window
dialogeditor_grid                       Grid
dialogeditor_caption                    Caption
dialogeditor_component                  Component
dialogeditor_select						Select
dialogeditor_create						Create
dialogeditor_background                 BG img
dialogeditor_panel                      Panel

dialogcomponent_custom                  Custom
dialogcomponent_button                  Button
dialogcomponent_container               Container
dialogcomponent_caption                 Caption
dialogcomponent_titlecaption            TitleCaption
dialogcomponent_checkbox                Checkbox
dialogcomponent_inputfield              InputField
dialogcomponent_inputslider             InputSlider
dialogcomponent_dropdownmenu            DropDownMenu
dialogcomponent_selectionlist           SelectionList
dialogcomponent_selectionlistitem       SelectionListItem
dialogcomponent_scrollbar               Scrollbar
dialogcomponent_progressbar             ProgressBar
dialogcomponent_canvas                  Canvas
dialogcomponent_iconbox					IconBox

dialogposition_absolute                 Absolute
dialogposition_relative                 Relative
dialogposition_scaled                   Scaled


# =============================================================================
# Profiler
# =============================================================================

profiler_title                          Profiler
profiler_name                           Name
profiler_timings                        Timings
profiler_totaltime                      Total
profiler_glfinishcaption                glFinish
profiler_reset                          Reset


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title                Sound Channels
soundeditor_title                       Sound Editor
soundinstanceeditor_title				Sound Instance Editor

soundeditor_positiontitle		        Position Type
soundeditor_instancetitle		        Instance Type
soundeditor_looptitle			        Loop Type
