state,key,svn,english,translation
CURRENT,action_closedoors,2448,"Close All Doors",关闭所有舱门
CURRENT,action_closevents,2448,"Close All Vents",关闭所有通风口
CURRENT,action_opendoors,2448,"Open All Doors",打开所有舱门
CURRENT,action_openvents,2448,"Open All Vents",打开所有通风口
CURRENT,advancedlogisticswindow_title,3239,"INTERSTELLAR LOGISTICS",星际货运
CURRENT,alert_title,2448,ALERTS,警报
CURRENT,alert_type_abouttoautosave,3054,AUTOSAVE,自动保存
CURRENT,alert_type_abouttoautosave_caption,3054,"Autosaving in *X...","*X 后自动保存..."
CURRENT,alert_type_autotradeinactive,2501,"AUTO-TRADE INACTIVE",自动交易未开启
CURRENT,alert_type_autotradeinactive_tooltip,2501,"One or more of your auto-orders have been made inactive. This may be because you owe a large payment to X.","你的一个或多个自动订单已失效，这可能是因为您欠 X 一大笔货款。"
CURRENT,alert_type_co2,2448,"CO2 WARNING",二氧化碳警告
CURRENT,alert_type_co2_caption,2448,"*X% Fatal","致死率 *X%"
CURRENT,alert_type_co2_tooltip,2448,"There is a dangerous build up of CO2 inside your ship. If it reaches 100%, your crew will suffocate. Consider buying a CO2 Scrubber and connecting it to a storage tank.","你的舰船内部正在积聚危险的二氧化碳，如果达到 100% 你的船员就会窒息，请考虑购买一个二氧化碳过滤器并将其连接到一个储罐。"
CURRENT,alert_type_crewoverworked,2448,"HIRE MORE CREW",招聘更多船员
CURRENT,alert_type_dead,2448,DEATHS,死亡人数
CURRENT,alert_type_dead_caption,2448,"*X dead","*X 人死亡"
CURRENT,alert_type_dehydrated,2448,"CREW DEHYDRATED",船员脱水
CURRENT,alert_type_emp,3054,EMP,电磁脉冲
CURRENT,alert_type_emp_caption,3054,"*X piece(s) disabled","*X 个设备瘫痪"
CURRENT,alert_type_emp_tooltip,3054,"Your ship has been struck by lightning, temporarily disabling some of your equipment.",您的舰船被闪电击中，部分设备暂时瘫痪。
CURRENT,alert_type_failedtofindsuit,3400,"SPACESUITS REQUIRED",需要宇航服
CURRENT,alert_type_failedtofindsuit_caption,3400,"*X crew members need spacesuits.","*X 船员需要宇航服"
CURRENT,alert_type_famished,2448,"CREW FAMISHED",船员极度饥饿
CURRENT,alert_type_heavydamage,2448,"HEAVY DAMAGE",严重损坏
CURRENT,alert_type_heavydamage_caption,2448,"Damage *X%","受损 *X%"
CURRENT,alert_type_hostileforces,2448,"HOSTILE CONTACT",敌对接触
CURRENT,alert_type_hostileforces_caption,2448,"*X enemy ships","*X 艘敌舰"
CURRENT,alert_type_hostilesinbound,2448,"HOSTILES INBOUND",敌舰进入
CURRENT,alert_type_hostilesinbound_caption,2448,"*X seconds","*X 秒"
CURRENT,alert_type_hullbreach,2448,"HULL BREACH",船体破裂
CURRENT,alert_type_hullbreach_caption,2448,"Repair *X%","维修进度 *X%"
CURRENT,alert_type_hullbreach_tooltip,2448,"There is a hole in your ship hull and the cabin is depressurising. Your crew will fix the breach, but you should consider closing your Door Vents to seal off the area.",船体上破了个洞，船舱正在减压。船员会修复破洞，但请考虑关闭舱门通风口以封闭该区域。
CURRENT,alert_type_hungry,2448,"CREW HUNGRY",船员饥饿
CURRENT,alert_type_interstellarlogistics,3239,"INTERSTELLAR LOGISTICS",星际货运
CURRENT,alert_type_interstellarlogistics_caption,3239,"Orders stuck",订单滞留
CURRENT,alert_type_lowbattery,2448,"BATTERY LOW",电池电量低
CURRENT,alert_type_lowbattery_caption,2448,*X%,*X%
CURRENT,alert_type_lowbattery_tooltip,2448,"Your batteries have been drained. It is likely your reactors are not creating enough power to meet the needs of your ship. You will need either more Reactors, or more battery storage, or both.",船上的电池已经耗尽，反应堆可能无法产生足够的能量来满足舰船的需要。你需要更多的反应堆，或者更大的电池容量，或者两者兼而有之。
CURRENT,alert_type_lowdeuterium,3149,"LOW DEUTERIUM",低氘
CURRENT,alert_type_lowfood,2448,"LOW FOOD",食物不足
CURRENT,alert_type_lowftl,2448,"FTL CHARGES",跃迁燃料不足
CURRENT,alert_type_lowfuel,2448,"LOW FUEL",燃料不足
CURRENT,alert_type_lowoxygen,2448,"LOW OXYGEN",氧气不足
CURRENT,alert_type_lowresource_caption,2448,*X,*X
CURRENT,alert_type_lowwater,2448,"LOW WATER",水资源不足
CURRENT,alert_type_meteorshower,2448,"METEOR SHOWER",流星雨
CURRENT,alert_type_none,2448,"NO ALERT",无警报
CURRENT,alert_type_nostorage,2448,"NO STORAGE",无存储空间
CURRENT,alert_type_oxygen,2448,"Oxygen must be at 50% to be breathable.","氧气含量必须达到 50% 才可以呼吸。"
CURRENT,alert_type_powercut,2448,"POWER CUT",断电
CURRENT,alert_type_powercut_nofuel,2448,"Fuel supply interrupted",燃料供应中断
CURRENT,alert_type_powercut_tooltip,2448,"Your reactor has cut out. It is likely the fuel supply has been interrupted.  Consider using storage tanks to create a permanent store of fuel for your Reactor to draw from.",你的反应堆断电了很可能是燃料供应中断了。考虑使用储罐来储存燃料以供反应堆持续使用。
CURRENT,alert_type_radiation,2886,"RADIATION POISONING",辐射中毒
CURRENT,alert_type_radiation_caption,2886,"*X have radiation poisoning","*X 人辐射中毒"
CURRENT,alert_type_severely_dehydrated,2448,"CREW SEVERELY DEHYDRATED",船员严重脱水
CURRENT,alert_type_stargatelosingpower,2624,"STARGATE LOSING POWER",星门失去动力
CURRENT,alert_type_stargatelosingpower_caption,2624,"*X MW / *Y MW Supplied","电力供应 *X MW / *Y MW"
CURRENT,alert_type_stargatelosingpower_tooltip,2624,"The stargate isn't being supplied with enough power. Use energy transmitters to supply the Stargate with power.",星门没有获得足够的能量，使用能量发射器为星门供电。
CURRENT,alert_type_starving,2448,"CREW STARVING",船员正在挨饿
CURRENT,alert_type_suffocating,2448,"CREW SUFFOCATING",船员正在窒息
CURRENT,alert_type_suffocating_caption,2448,"*X suffocating","*X 人正在窒息"
CURRENT,alert_type_test,2448,"TEST ALERT",测试警报
CURRENT,alert_type_thirsty,2448,"CREW THIRSTY",船员正在脱水
CURRENT,analyticsconsentdialog_accept,2448,Accept,接受
CURRENT,analyticsconsentdialog_moreinfo,2448,"More Info...",更多信息...
CURRENT,analyticsconsentdialog_reject,2448,Reject,拒绝
CURRENT,analyticsconsentdialog_text,2448,"We need to collect usage data to help us to better understand how people are playing and to help us to improve the game. \n\nWe do not collect any personally identifiable information. If you are OK with this please hit the Accept button.","我们需要收集使用数据以帮助我们更好地了解玩家的游戏情况并帮助我们改进游戏。\n\n我们不会收集任何个人身份信息。如果您同意请点击 接受 按钮。"
CURRENT,analyticsconsentdialog_title,2448,"Collection of Telemetry Data",遥测数据的收集
CURRENT,andromeda_travel,3239,"ANDROMEDA JOURNEY",仙女座之旅
NEW,award_civilianpayment,3472,"CIVILIAN PAYMENT",平民付款
NEW,award_civilianpayment_caption,3472,"*X permanent residents in your fleet","舰队中共有 *X 常驻居民"
CURRENT,award_rewards,2448,Rewards,奖励
CURRENT,battle_title,2448,BATTLE,战斗
CURRENT,blackhole_character_julian,2448,"Dr. Julian Martinez",朱利安·马丁内斯博士
CURRENT,blackhole_character_marcus,2448,"Marcus Martinez",马库斯·马丁内斯
CURRENT,blackhole_character_stargate,2448,"Andromeda Project LLC",仙女座项目有限责任公司
CURRENT,blackhole_episode_title,2448,"Black Hole Sun",黑洞太阳
CURRENT,blackhole_objective_containers,2448,"Unload the Hyperspace Isotopes into Containers [*X/*Y]. *Z Containers used","将超空间同位素装入容器中 [*X/*Y]，已使用 *Z 个容器"
CURRENT,blackhole_objective_isotopes,2448,"Collect Hyperspace Isotopes [*X/*Y]","收集超空间同位素 [*X/*Y]"
CURRENT,blackhole_objective_loader,3239,"Connect a Loader to the tank",将装载器连接到储罐
CURRENT,blackhole_objective_modulators,2448,"Manufacture Hyperspace Modulators [*X/*Y]","制造超空间调制器 [*X/*Y]"
CURRENT,blackhole_objective_returnisotopes,2448,"Deliver Hyperspace Isotope Containers [*X/*Y]","运送超空间同位素容器 [*X/*Y]"
CURRENT,blackhole_objective_scoop,2448,"Acquire a Hyperspace Scoop",获得超空间采集器
CURRENT,blackhole_objective_storagetank,3239,"Connect a tank to the Hyperspace Scoop",将储罐连接到超空间采集器
CURRENT,blackhole_objective_tank,3239,"Acquire a Storage Tank",获得一个储罐
CURRENT,blackhole_objective_unloadloader,3239,"Set the Loader to UNLOAD",将装载器设置为卸载
CURRENT,blackhole_objective_visitjulian,2448,"Travel to Black Hole Qz247","前往黑洞 Qz247"
CURRENT,blackhole_part1_completion1,2624,"Thank you, Captain. I now have what I need to modify this FTL drive for the Short Range Hop.",谢谢你，舰长。我现在有了改装短程跳跃超光速引擎所需的东西。
CURRENT,blackhole_part1_completion2,2448,"It's going to take me some time to prepare the calculations.  Leave things to me and I'll call you when we're ready for the next phase.",我需要花一些时间来准备这些计算工作，把事情交给我吧。下一个环节准备好时，我会打电话给你。
CURRENT,blackhole_part1_hintisotopes1,2448,"Looks like you have a Hyperspace Scoop!  You can use this to gather the Hyperspace Isotopes I need.",看来你已经有了一个超空间采集器！可以用它来收集我所需要的超空间同位素。
CURRENT,blackhole_part1_hintisotopes2,2448,"You'll need to install the Scoop facing forward on the front of your ship, then connect its pipe output to a storage tank.",你需要将采集器朝前安装在舰船前部，然后将其管道输出端连接到储罐。
CURRENT,blackhole_part1_hintisotopes3,2448,"The Scoop works only when you are in hyperspace. So you'll need to gather the isotopes over a few FTL jumps.",采集器只有在超空间中才能发挥作用，因此你需要通过几次超光速跃迁来收集同位素。
CURRENT,blackhole_part1_hintunloading1,2448,"You've collected some Hyperspace Isotopes in a tank! You'll need to pump them into Containers so we can easily move them between ships.",你已经在储罐中收集了一些超空间同位素，现在需要把它们泵入容器中以便于在舰船之间进行搬运。
CURRENT,blackhole_part1_hintunloading2,2448,"Buy a LOADER from any trade post and install it near your Hyperspace Isotope tanks. Connect the pipes, and set the loader to 'UNLOAD'.","从任一贸易站购买一台装载器并将其安装在超空间同位素储罐附近，连接管道并将装载器设置为“卸载”。"
CURRENT,blackhole_part1_hintunloading3,2448,"You should also designate some storage space for the Isotope containers.",你还需要为同位素容器分配一些储存区。
CURRENT,blackhole_part1_intro1,2448,"Greetings Captain. My name is Dr. Martinez and I'm reaching out to ask for your help.",舰长您好。我是马丁内斯博士。我想需要您的帮助。
CURRENT,blackhole_part1_intro2,2624,"For years now my brother and I have been studying the high energy particle emissions in orbit of the black hole you can see behind us.  Its official designation is Qz247 - the collapsed remnants of a star that lived a couple of billion years ago.","多年来我和弟弟一直在研究我们身后黑洞轨道上的高能粒子辐射。它的正式名称是 Qz247 ————几十亿年前一颗恒星坍缩的残余物。"
CURRENT,blackhole_part1_intro3,2448,"An accident with our equipment has left my brother in dire need of a rescue, and I need your help.",我们的设备出了故障，我弟弟急需救援，我需要你们的帮助。
CURRENT,blackhole_part1_return1,2448,"You've gathered the materials I need! Bring them back to me at Qz247 to complete the contract.","你已经收集了我所需要的材料，把它们带回 Qz247 交给我完成合约。"
CURRENT,blackhole_part1_sendingshuttle,2624,"I'm sending a shuttle to you now, Captain. Get your crew to load the Hyperspace Isotopes for me.",舰长，我现在派穿梭机去。请您安排船员为我搬运同位素。
CURRENT,blackhole_part1_setup2,2624,"Thank you for offering your services, Captain.",谢谢您的帮助，舰长。
CURRENT,blackhole_part1_setup3,2448,"The Stargate project funded our research from the beginning.  They buy all the data we can collect, and the closer we travel to the event horizon, the more data our sensors receive. Every mission, we'd push ourselves to go closer.",星门工程从一开始就在资助我们的研究，他们会买下我们能收集到的任何数据。我们越接近事件视界，传感器收到的数据就越多。每次探险我们都会尝试进一步靠近事件视界。
CURRENT,blackhole_part1_setup4,2448,"The last time, we pushed it too far.  My brother Marcus took the sensor ship and flew closer than we've ever been before.  Right to the edge.  Closer than anyone has ever been.",上一次我们有点冲动了。我弟弟马库斯开着探测船，飞到了我们从未到达过的距离，就在事件视界边缘，前所未有的接近。
CURRENT,blackhole_part1_setup5,2448,"I've lost all contact, and he's been down there for a long time now.  He's still showing on the sensors, and his ship is still intact.  The gravitational forces and time dilation will be extreme.  But with your help, we're going to rescue him.",所有通讯手段都已失效，他已经在下面滞留很久了。传感器上仍然能看到他舰船，并且完好无损。引力造成的时间膨胀会非常大，但有您帮忙，我们一定能救把他救出来。
CURRENT,blackhole_part1_setup6,2448,"There's only one way to get to him without falling into the black hole ourselves.  We're going to have to do an extremely short range HYPERSPACE HOP.",目前只有一个办法，能在不掉进黑洞的前提下救起他。我们必须在极短的距离内进行超空间跃迁。
CURRENT,blackhole_part1_setup6b,2448,"Using a modified FTL Drive you'll do one hyperspace hop toward the black hole, rescue my brother Marcus, then turn around and hop right out.  It will be dangerous, but it's the only way to avoid being dragged in ourselves.",使用一个改装过的超光速引擎，向黑洞进行一次超空间跃迁，救出我的弟弟马库斯，然后掉头跃迁回来。虽然很危险，但这是避免自己被吸进去的唯一办法。
CURRENT,blackhole_part1_setup7,3239,"I need materials to synthesise the resources we need.  You can help me with this, while I work on the calculations. I'll need Hyperspace Isotopes - you should be able to collect them easily enough, but you'll need to acquire a Hyperspace Scoop and a tank to store the isotopes in first.",我需要一些原料来合成跃迁所需的燃料，在我进行计算准备的时候，您可以帮我收集一下。我需要超空间同位素————您应该很容易就能收集到，但需要先买一个超空间采集集器和一个储存同位素的储罐。
CURRENT,blackhole_part1_setup7b,2448,"You'll then need to use a Loader to start unloading the isotopes into containers.",然后您需要使用装载器将同位素卸载到容器中。
CURRENT,blackhole_part1_setup8,2448,"I'm building the Hyperspace FTL drive that will allow you to perform the hop.  It's going to need some modifications.  I'll need you to manufacture some parts for me. I know you have manufacturing facilities near the Stargate project.  You should be able to make these parts for me without too much trouble.",我正在改装可以进行短距跃迁的超光速引擎，需要您帮我生产一些部件。我知道你们在星门工程附近有座工厂，生产这些部件应该不会太麻烦。
CURRENT,blackhole_part1_setup9,2448,"Bring those materials back to me, and we can move onto phase 2.",把这些材料拿回来给我，就可以进入下一个环节了。
