state,key,svn,english,translation
NEW,settings_credits,3149,CREDITS,鳴謝
NEW,newmainmenu_savetosteamcloud_tooltip,3149,The game will be saved to Steam Cloud when enabled. A warning will show if the save fails.,啟用後，遊戲會儲存到 Steam Cloud。如果儲存失敗，則會顯示警告。
NEW,newmainmenu_saveoptions,3149,Save Options,儲存選項
NEW,hud_tooltip_switchflooring,3149,[{RotateObject}] Switch flooring style,[{RotateObject}] 切換地板風格
NEW,hud_tooltip_currentflooring,3149,Current style: *X,目前的風格：*X
NEW,hud_tooltip_gratedflooring,3149,Grated,磨碎
NEW,hud_tooltip_normalflooring,3149,Normal,正常
NEW,hud_hull_integrity,3149,HULL,HULL
NEW,hud_power_battery,3149,BATTERY,電池
NEW,hud_power_powershortage,3149,POWER SHORTAGE,電力短缺
NEW,hud_idlecrew,3149,Idle Crew,閒置船員
NEW,hud_consumingperhour,3149,Consuming *X per hour,每小時消耗*X 
NEW,hud_dehydrationperperson,3149,Dehydration *X per person,每人脫水*X 
NEW,hud_hungerperperson,3149,Hunger *X per person,飢餓*X 每人
NEW,hud_byauthor,3149,BY *X,BY*X
NEW,communicator_newobjective,3149,NEW OBJECTIVE,新目標
NEW,galaxymap_stargate,3149,STARGATE,星門
NEW,trade_canceltrade,3149,CANCEL TRADE AND REFUND,取消交易及退款
NEW,trade_refundvalue,3149,REFUND VALUE,退款價值
NEW,trade_cancellationcost,3149,CANCELLATION COST,取消費用
NEW,trade_partiallyfilled,3149,PARTIALLY FILLED,部分填滿
NEW,trade_incompletecomponent,3149,INCOMPLETE COMPONENT,不完整組件
NEW,trade_removeincomplete,3149,REMOVE INCOMPLETE,刪除不完整
NEW,trade_removepartiallyfilled,3149,REMOVE PARTIALLY FILLED,移除部分填充
NEW,trade_order_normal,3149,(*X),(*X)
NEW,trade_order_buy_on_sell_screen,3149,(BUY *X),(購買*X)
NEW,trade_order_sell_on_buy_screen,3149,(SELL *X),(SELL*X)
NEW,trade_order_sack_on_buy_screen,3149,(SACK *X),(SACK*X)
NEW,techtree_researchpercent,3149,*X% Complete,*X完成百分比
NEW,tooltip_efficiency,3149,Efficiency +*X%,效率 +*X%
NEW,tooltip_activating,3149,Activating +*X%,啟動 +*X%
NEW,alert_type_lowdeuterium,3149,LOW DEUTERIUM,低耗電量
NEW,stargate_unknowncomponent,3149,Unknown Component,未知元件
NEW,stargate_unknowncomponent_description,3149,Unlock this component through research!,透過研究解鎖此元件！
NEW,creditstitle_builders,3149,Ship Builders,造船廠
NEW,creditstitle_testers,3149,Early Play Testing,早期遊戲測試
NEW,creditstitle_translators,3149,Translation,翻譯
NEW,engine_thrust,3149,THRUST *X%,THRUST*X%
UPDATED,hud_converttracktosplitter,3149,[CTRL + RMB] Convert to splitter,[CTRL + RMB] 轉換為分割器
PREVIOUS,hud_converttracktosplitter,3054,[RMB] Convert to splitter,[RMB] 轉換為分割器
UPDATED,hud_convertsplittertotrack,3149,[CTRL + RMB] Convert to track,[CTRL + RMB] 轉換為軌跡
PREVIOUS,hud_convertsplittertotrack,3054,[RMB] Convert to track,[人民幣] 轉換為軌跡
UPDATED,tutorial_ftlintro,3149,We cannot deliver those passengers to their destination without Faster-Than-Light travel. Unfortunately this ship is not equipped with its own <b>FTL drive</b>.\n\nWe'll need to buy one and set it up.,如果沒有超光速旅行，我們無法將這些乘客送到目的地。不幸的是，這艘船沒有裝備自己的<b>超光速驅動器</b>。\n\n我們需要買一個並安裝好。
PREVIOUS,tutorial_ftlintro,2886,We cannot deliver those passengers to their destination without Faster-Than-Light travel. Unfortunately this ship is not equipped with its own <b>FTL</b> drive.\n\nWe'll need to buy one and set it up.,如果沒有超光速旅行，我們無法將這些乘客送到目的地。不幸的是，這艘船沒有裝備自己的<b>超光速</b>驅動器。\n\n我們需要買一個並安裝好。
PREVIOUS,tutorial_ftlintro,2448,We cannot deliver those passengers to their destination without Faster-Than-Light travel. Unfortunately this ship is not equipped with its own FTL drive.\n\nWe'll need to buy one and set it up.,如果沒有超光速旅行，我們無法將這些乘客送到目的地。不幸的是，這艘船沒有裝備自己的超光速驅動器。\n\n我們需要買一個並安裝好。
UPDATED,tutorial_ftltradescreen,3149,Open the trade screen to purchase an <b>FTL drive</b> and some <b>FTL charges</b>.,開啟交易畫面，購買<b>超光速驅動器</b>和一些<b>超光速費用</b>。
PREVIOUS,tutorial_ftltradescreen,2886,Open the trade screen to purchase an <b>FTL</b> drive.,開啟交易畫面購買 <b>FTL</b> 驅動器。
PREVIOUS,tutorial_ftltradescreen,2448,Open the trade screen to purchase an FTL drive.,開啟交易畫面購買 FTL 驅動器。
UPDATED,newmainmenu_includedocked,3149,INCLUDE DOCKED SHIPS,包括停靠的船舶
PREVIOUS,newmainmenu_includedocked,2448,INCLUDE DOCKED SHIPS IN EXPORT,將停靠的船舶列入出口
UPDATED,hud_layer_hostile,3149,HOSTILE *X,駐留*X
PREVIOUS,hud_layer_hostile,2448,HOSTILE,駐留
UPDATED,hud_layer_derelict,3149,DERELICT *X,DERELICT*X
PREVIOUS,hud_layer_derelict,2448,DERELICT,DERELICT
UPDATED,hud_layer_forsale,3149,[FOR SALE] *X,[出售]*X
PREVIOUS,hud_layer_forsale,2448,[FOR SALE],[出售]
