state,key,svn,english,translation
"NEW","dialog_new","2624","","Nový"
"NEW","dialog_load","2624","","Načíst"
"NEW","dialog_save","2624","","Uložit"
"NEW","dialog_saveas","2624","","Uložit jako"
"NEW","dialog_delete","2624","","Smazat"
"NEW","dialog_width","2624","","Šířka"
"NEW","dialog_height","2624","","Výška"
"NEW","dialog_name","2624","","Jméno"
"NEW","dialog_type","2624","","Typ"
"NEW","dialog_x","2624","","X"
"NEW","dialog_y","2624","","Y"
"NEW","dialog_z","2624","","Z"
"NEW","dialog_w","2624","","W"
"NEW","dialog_h","2624","","H"
"NEW","dialog_exit","2624","","Ukončit"
"NEW","dialog_cancel","2624","","Zrušit"
"NEW","dialog_ok","2624","","Ok"
"NEW","dialog_open","2624","","Otevřít"
"NEW","dialog_close","2624","","Zavřít"
"NEW","dialog_closed","2624","","Zavřeno"
"NEW","dialog_add","2624","","Přidat"
"NEW","dialog_up","2624","","Nahoru"
"NEW","dialog_down","2624","","Dolů"
"NEW","dialog_yes","2624","","Ano"
"NEW","dialog_no","2624","","Ne"
"NEW","dialog_loading","2624","","Načítání..."
"NEW","dialog_low","2624","","Nízké"
"NEW","dialog_medium","2624","","Střední"
"NEW","dialog_high","2624","","Vysoké"
"NEW","dialog_none","2624","","Žádné"
"NEW","ellipsis","2624","","..."
"NEW","language_system","2624","","System"
"NEW","language_english","2624","","English"
"NEW","language_french","2624","","Français"
"NEW","language_spanish","2624","","Español"
"NEW","language_german","2624","","Deutsch"
"NEW","language_russian","2624","","Русский"
"NEW","language_tokipona","2624","","toki pona"
"NEW","language_dutch","2624","","Nederlands"
"NEW","language_polish","2624","","Polski"
"NEW","language_portuguese","2624","","Português"
"NEW","language_portuguese_br","2624","","Português (Br)"
"NEW","language_italian","2624","","Italiano"
"NEW","language_swedish","2624","","Svenska"
"NEW","language_czech","2624","","Čeština"
"NEW","language_turkish","2624","","Türkçe"
"NEW","language_chinese_traditional","2624","","繁體中文"
"NEW","language_chinese_simplified","2624","","简体中文"
"NEW","language_japanese","2624","","日本語"
"NEW","language_korean","2624","","한국어"
"NEW","language_danish","2624","","Dansk"
"NEW","language_finnish","2624","","Suomi"
"NEW","language_norwegian","2624","","Norsk"
"NEW","language_hungarian","2624","","Magyar"
"NEW","language_romanian","2624","","Română"
"NEW","language_bulgarian","2624","","Български"
"NEW","analyticsconsentdialog_title","2624","","Sběr telemetrických dat"
"NEW","analyticsconsentdialog_accept","2624","","Přijmout"
"NEW","analyticsconsentdialog_reject","2624","","Odmítnout"
"NEW","analyticsconsentdialog_moreinfo","2624","","Více informací..."
"NEW","analyticsconsentdialog_text","2624","","Abychom lépe porozuměli, jak lidé hru hrají a mohli ji dál vylepšovat, potřebujeme sbírat data o používání. \n\nŽádné osobní identifikovatelné údaje nesbíráme. Pokud s tím souhlasíte, klikněte prosím na tlačítko Přijmout."
"NEW","filedialog_title","2624","","Choose a File"
"NEW","dialogeditor_title","2624","","Editor dialogů"
"NEW","dialogeditor_back","2624","","Zadní část"
"NEW","dialogeditor_front","2624","","Přední část"
"NEW","dialogeditor_reloadlanguage","2624","","Znovu načíst jazyk"
"NEW","dialogeditor_test","2624","","Testovat"
"NEW","dialogeditor_window","2624","","Okno"
"NEW","dialogeditor_grid","2624","","Mřížka"
"NEW","dialogeditor_caption","2624","","Popisek"
