state,key,svn,english,translation
NEW,settings_accentinsensitivesearch,2803,Accent Insensitive Search,Akzentunempfindliche Suche
NEW,settings_accentinsensitivesearch_description,2803,"When searching in lists, ignore accented characters, e.g. ""é"" will match ""e""","Bei der Suche in Listen werden akzentuierte Zeichen ignoriert, z.B. ""é"" entspricht ""e"""
NEW,settings_translatorassist,2803,"Translator Assist (Ctrl, Alt)","Übersetzer-Hilfe (Strg, Alt)"
NEW,settings_translatorassist_description,2803,"Enable features to help translators, such as Alt to reveal English and Ctrl to reveal the phrase key.","Aktiviere Funktionen, die den Übersetzern helfen, z. B. Alt, um die englische Sprache anzuzeigen, und Strg, um die Phrasen-Taste anzuzeigen."
CURRENT,settings_sound,2793,SOUND,SOUND
CURRENT,settings_appearance,2793,APPEARANCE,APPEARANCE
CURRENT,settings_keybindings,2793,KEYBOARD,KEYBOARD
CURRENT,settings_other,2793,OTHER,ANDERE
CURRENT,settings_uibounce,2793,UI Highlight Bounce,UI Highlight Bounce
CURRENT,keybinding_title_action,2793,Action,Aktion
CURRENT,keybinding_title_key,2793,Key,Schlüssel
CURRENT,keybinding_press_a_key,2793,PRESS A KEY,A TASTE DRÜCKEN
CURRENT,keybinding_revert,2793,RESET,RESET
CURRENT,keybinding_panleft1,2793,Pan Left (1),Pan Links (1)
CURRENT,keybinding_panleft2,2793,Pan Left (2),Pan Links (2)
CURRENT,keybinding_panright1,2793,Pan Right (1),Schwenken nach rechts (1)
CURRENT,keybinding_panright2,2793,Pan Right (2),Schwenken nach rechts (2)
CURRENT,keybinding_pandown1,2793,Pan Down (1),Schwenken nach unten (1)
CURRENT,keybinding_pandown2,2793,Pan Down (2),Schwenken nach unten (2)
CURRENT,keybinding_panup1,2793,Pan Up (1),Pan Up (1)
CURRENT,keybinding_panup2,2793,Pan Up (2),Pan Up (2)
CURRENT,keybinding_zoomin,2793,Zoom In,Heranzoomen
CURRENT,keybinding_zoomout,2793,Zoom Out,Herauszoomen
CURRENT,keybinding_ManoeuvreLeft,2793,Thrust Left,Schubkraft links
CURRENT,keybinding_ManoeuvreRight,2793,Thrust Right,Schubkraft rechts
CURRENT,keybinding_ManoeuvreUp,2793,Thrust Up,Schub nach oben
CURRENT,keybinding_ManoeuvreDown,2793,Thrust Down,Schub nach unten
CURRENT,keybinding_ManoeuvreClockwise,2793,Thrust Clockwise,Schubkraft im Uhrzeigersinn
CURRENT,keybinding_ManoeuvreCounterClockwise,2793,Thrust C-Clockwise,Schubkraft C-Linkslauf
CURRENT,keybinding_toggletactical,2793,Toggle Tactical,Toggle Tactical
CURRENT,keybinding_togglemap,2793,Toggle Map,Karte umschalten
CURRENT,keybinding_increasethrust,2793,Engines +,Motoren +
CURRENT,keybinding_decreasethrust,2793,Engines -,Motoren -
CURRENT,keybinding_hudscaleup,2793,Increase HUD Scale,HUD-Skala erhöhen
CURRENT,keybinding_hudscaledown,2793,Decrease HUD Scale,HUD-Skala verkleinern
CURRENT,keybinding_recentrehome,2793,Recentre Ship,Neuestes Schiff
CURRENT,keybinding_togglepause,2793,Pause,Pause
CURRENT,keybinding_gamespeed1,2793,Normal Speed,Normale Geschwindigkeit
CURRENT,keybinding_gamespeed2,2793,2x Speed,2x Geschwindigkeit
CURRENT,keybinding_gamespeed3,2793,3x Speed,3x Geschwindigkeit
CURRENT,keybinding_gamespeed4,2793,4x Speed,4x Geschwindigkeit
CURRENT,keybinding_gamespeed5,2793,5x Speed,5x Geschwindigkeit
CURRENT,keybinding_gamespeed6,2793,6x Speed,6x Geschwindigkeit
CURRENT,keybinding_gamespeed7,2793,7x Speed,7x Geschwindigkeit
CURRENT,keybinding_gamespeed8,2793,8x Speed,8x Geschwindigkeit
CURRENT,keybinding_gamespeed9,2793,9x Speed,9x Geschwindigkeit
CURRENT,keybinding_gamespeed0,2793,Half Speed,Halbe Geschwindigkeit
CURRENT,keybinding_rotateobject,2793,Rotate Object,Objekt rotieren
CURRENT,keybinding_takescreenshot,2793,Screenshot (+ {MetaCtrl}),Screenshot (+ {MetaCtrl})
CURRENT,keybinding_alttool,2793,Eye-dropper,Augentropfer
CURRENT,origin_shipofficial,2793,OFFICIAL SHIPS,OFFIZIELLE SCHIFFE
CURRENT,origin_shipcommunity,2793,COMMUNITY SHIPS,GEMEINSCHAFTSSCHIFFE
CURRENT,origin_shipuser,2793,PLAYER-MADE SHIPS,VON SPIELERN GEBAUTE SCHIFFE
CURRENT,origin_shipsteam,2793,SUBSCRIBED SHIPS ON STEAM WORKSHOP,ABONNIERTE SCHIFFE AUF STEAM WORKSHOP
CURRENT,origin_shipsteamuser,2793,SHIPS UPLOADED TO STEAM WORKSHOP,SCHIFFE IN DEN STEAM WORKSHOP HOCHGELADEN
CURRENT,shipeditor_mode_eyedropper,2793,Eyedropper,Eyedropper
CURRENT,shipeditor_tooltip_eyedropper,2793,"Lets you select a paint from the exterior of your ship (can also be used by pressing the ""Shift"" key)","Ermöglicht es dir, eine Farbe von der Außenseite deines Schiffes auszuwählen (kann auch durch Drücken der ""Shift""-Taste verwendet werden)"
CURRENT,shipeditor_paint,2793,PAINT,FARBE
CURRENT,shipeditor_paint_paint,2793,Foreground Paint,Vordergrundfarbe
CURRENT,shipeditor_paint_erase,2793,Background Paint,Hintergrundfarbe
CURRENT,shipeditor_paint_name,2793,Paint Name,Farbe Name
CURRENT,shipeditor_paint_standard,2793,Standard Paint,Standardfarbe
CURRENT,shipeditor_paint_custom,2793,Custom Paint,Benutzerdefinierte Farbe
CURRENT,shipeditor_paint_primary,2793,Base Primary,Basis Primär
CURRENT,shipeditor_paint_secondary,2793,Base Secondary,Basis Sekundär
CURRENT,shipeditor_paint_detailprimary,2793,Detail Primary,Detail Primär
CURRENT,shipeditor_paint_detailsecondary,2793,Detail Secondary,Detail Sekundär
CURRENT,shipeditor_paint_detailtertiary,2793,Detail Tertiary,Detail Tertiär
CURRENT,shipeditor_palettelibrary_title_import,2793,IMPORT PALETTES,PALETTEN IMPORTIEREN
CURRENT,shipeditor_palettelibrary_title_export,2793,EXPORT PALETTES,PALETTEN EXPORTIEREN
CURRENT,shipeditor_palettelibrary_createname,2793,CREATE NEW PALETTE,NEUE PALETTE ERSTELLEN
CURRENT,shipeditor_palettelibrary_import,2793,IMPORT,IMPORT
CURRENT,shipeditor_palettelibrary_delete,2793,DELETE,LÖSCHEN
CURRENT,shipeditor_palettelibrary_confirm,2793,CONFIRM,BESTÄTIGEN
CURRENT,shipeditor_palettelibrary_cancel,2793,CANCEL,ANNULLIEREN
CURRENT,shipeditor_palettelibrary_export,2793,EXPORT,EXPORT
CURRENT,shipeditor_palettelibrary_upload,2793,UPLOAD,UPLOAD
CURRENT,trade_autotradedisabled,2793,DISABLED IN ORDER MENU,IM BESTELLMENÜ DEAKTIVIERT
CURRENT,order_autotradeactive,2793,Auto Trade,Autohandel
CURRENT,object_table,2793,Table,Tabelle
CURRENT,object_smalltable,2793,Small Table,Kleiner Tisch
CURRENT,object_chair,2793,Chair,Stuhl
CURRENT,object_sofa,2793,Sofa,Sofa
CURRENT,object_potplant,2793,Pot Plant,Topfpflanze
CURRENT,tutorial_battlestations_title,2793,BATTLE STATIONS,KAMPFSTATIONEN
CURRENT,tutorial_battlestationsstart,2793,We are now going to learn how to deploy our weapons for combat.\n\nThe game has been paused for now.,"Wir werden jetzt lernen, wie wir unsere Waffen im Kampf einsetzen.\n\nDas Spiel wurde für den Moment pausiert."
CURRENT,tutorial_battlestationsactivate,2793,BATTLE STATIONS must be activated before your weapons can be used.\n\nThis will tell your crew to prepare for battle!,"KAMPFSTATIONEN müssen aktiviert werden, bevor du deine Waffen einsetzen kannst.\n\nDamit wird deine Mannschaft angewiesen, sich auf den Kampf vorzubereiten!"
CURRENT,tutorial_battlestationshighlightcrew,2793,Your crew will run to the weapons to deploy them.\n\nGatling guns don't require any crew to deploy them.,"Deine Crew läuft zu den Waffen, um sie einzusetzen.\n\nGatling-Guns benötigen keine Crew, um sie einzusetzen."
CURRENT,tutorial_battlestationshighlightguns,2793,The gun barrels will begin to extend when they arrive.\n\nWhen the barrels are fully extended they will be ready to fire!,"Die Gewehrläufe beginnen sich auszufahren, wenn sie ankommen.\n\nWenn die Läufe vollständig ausgefahren sind, sind sie schussbereit!"
CURRENT,tutorial_battlestationssuccess,2793,"Well done, your weapons are now successfully deployed for battle!","Gut gemacht, deine Waffen sind jetzt erfolgreich im Kampf eingesetzt!"
CURRENT,tutorial_stargatejump_title,2793,STARGATE JUMPING,STERNENTOR SPRINGEN
CURRENT,tutorial_stargatejumpstart,2793,We are now going to learn how to jump using the newly powered-up Stargate.,"Wir werden jetzt lernen, wie man mit dem neu angeschalteten Stargate springt."
CURRENT,tutorial_stargatejumpnopower,2793,"The Stargate currently has lost power and needs to be started again.\n\nUse energy transmitters to power the Stargate.\n\nWhen the Stargate is ready, we will try again!","Das Stargate hat momentan keinen Strom mehr und muss neu gestartet werden.\n\nBenutze Energietransmitter, um das Stargate mit Strom zu versorgen.\n\nWenn das Stargate bereit ist, versuchen wir es erneut!"
CURRENT,tutorial_stargatejumpintro,2793,The Stargate enables travel between different sectors.\n\nThe jump costs a single FTL charge and the Stargate will use more power while a jump is in progress.,"Das Stargate ermöglicht Reisen zwischen verschiedenen Sektoren.\n\nDer Sprung kostet eine einzige FTL-Ladung und das Stargate verbraucht mehr Energie, während ein Sprung stattfindet."
CURRENT,tutorial_stargatejumpselectsystem,2793,Let's have a look at your ship in the Stargate system.\n\nStargate jumps can only be performed from the Stargate system.,Werfen wir einen Blick auf dein Schiff im Stargate-System.\n\nStargate-Sprünge können nur vom Stargate-System aus durchgeführt werden.
CURRENT,tutorial_stargatejumpopenftl,2793,"First, let's open the FTL window.",Zuerst öffnen wir das FTL-Fenster.
CURRENT,tutorial_stargatejumpabortjump,2793,We will need to abort the jump that's currently planned.,"Wir müssen den Sprung, der gerade geplant ist, abbrechen."
CURRENT,tutorial_stargatejumphighlightalign,2793,"When no jump is planned on the sector map, you can align your fleet for a Stargate jump.","Wenn auf der Sektorkarte kein Sprung geplant ist, kannst du deine Flotte für einen Stargate-Sprung ausrichten."
CURRENT,tutorial_stargatejumphighlightaligning,2793,Great! The selected ships will now align for the jump.,Super! Die ausgewählten Schiffe werden jetzt für den Sprung ausgerichtet.
CURRENT,tutorial_stargatejumphighlightjump,2793,Your fleet is ready to jump to the new sector!\n\nYou can come back to this sector by performing another Stargate jump.,"Deine Flotte ist bereit, in den neuen Sektor zu springen!\n\nDu kannst zu diesem Sektor zurückkehren, indem du einen weiteren Stargate-Sprung machst."
CURRENT,tutorial_stargatejumpsuccess,2793,Well done. You can now jump between sectors!,Gut gemacht! Du kannst jetzt zwischen den Sektoren springen!
CURRENT,dsi_part2_objective_sellreminder,2793,Sell your manufactured parts to submit them to the Stargate project,"Verkaufe deine hergestellten Teile, um sie dem Stargate-Projekt zu übergeben"
CURRENT,trade_autotradecancelled,2793,LAST ORDER CANCELLED,LETZTE BESTELLUNG STORNIERT
CURRENT,special_stargatepart3,2793,"Andromeda Project Phases 4, 5","Andromeda-Projekt Phasen 4, 5"
CURRENT,tutorial_powerreactoractive,2793,The REACTOR is activated! We are now generating power for our ship.,Der REAKTOR ist aktiviert! Wir erzeugen jetzt Energie für unser Schiff.
CURRENT,dsi_part2_objective_installengines,2793,OPTIONAL: Install engines in the A.J.E Foundry,OPTIONAL: Installiere Motoren in der A.J.E Gießerei
CURRENT,origin_official,2793,OFFICIAL,OFFIZIELL
CURRENT,origin_community,2793,COMMUNITY,GEMEINSCHAFT
CURRENT,origin_user,2793,PLAYER-MADE,PLAYER-MADE
CURRENT,origin_steam,2793,SUBSCRIBED ON STEAM WORKSHOP,ABONNIERT AUF STEAM WORKSHOP
CURRENT,origin_steamuser,2793,UPLOADED TO STEAM WORKSHOP,IN DEN STEAM WORKSHOP HOCHGELADEN
CURRENT,settings_exitsaves_tooltip,2675,"When enabled, the current game will be saved when abandoned or when the game is quit in a file called exitsave.\n\nCAUTION: This file will be overwritten on every exit.","Wenn diese Option aktiviert ist, wird das aktuelle Spiel beim Verlassen oder beim Beenden des Spiels in einer Datei namens exitsave.\n\nCAUTION: Diese Datei wird bei jedem Beenden überschrieben."
CURRENT,settings_dynamiclighting,2675,Use Dynamic Lighting,Dynamische Beleuchtung verwenden
CURRENT,newmainmenu_exitsaves,2675,Exit-saves,Beenden - speichert
CURRENT,hud_ftlshipnotviablewarning,2675,Ship needs either hull or scaffolding to be brought into hyperspace,"Das Schiff braucht entweder einen Rumpf oder ein Gerüst, um in den Hyperraum gebracht werden zu können."
CURRENT,trade_cancelautotrade,2675,CANCEL AUTO-TRADE,AUTOHANDEL ABBRECHEN
CURRENT,hud_collector_tooltip_totalgathered,2675,TOTAL GATHERED,INSGESAMMT GESAMMELT
CURRENT,save_cloudsavefailed_header,2639,WARNING: Cloud Save Failed,WARNUNG: Cloud Save fehlgeschlagen
CURRENT,save_cloudsavefailed_body,2639,"The game failed to save to the cloud, the game has been saved locally instead.\n\nPlease check that you have enough storage in the Steam Cloud and try again.","Das Spiel konnte nicht in der Cloud gespeichert werden. Das Spiel wurde stattdessen lokal gespeichert.\n\nBitte überprüfe, ob du genügend Speicherplatz in der Steam Cloud hast und versuche es erneut."
CURRENT,mission_type_sectorjumpgate,2639,Jumpgate (Sector),Sprungtor (Sektor)
CURRENT,stargate_newsystems_harken_2,2639,"Unfortunately it seems pirates have gotten to them first, and have set up their own shipyards around the Neubidium deposits in the system.",Leider scheinen die Piraten ihnen zuvor gekommen zu sein und haben ihre eigenen Werften rund um die Neubidium-Vorkommen im System errichtet.
CURRENT,settings_arraytextures,2624,Use Array Textures,Array-Texturen verwenden
CURRENT,newmainmenu_arena_shipquantity,2624,Quantity,Menge
CURRENT,newmainmenu_arena_combatratings,2624,COMBAT RATINGS,KAMPFWERTUNGEN
CURRENT,newmainmenu_arena_tradevalues,2624,SHIP VALUES,SCHIFFSWERTE
CURRENT,newmainmenu_arena_expandstats,2624,SHOW INFO,INFO ZEIGEN
CURRENT,newmainmenu_arena_collapsestats,2624,HIDE INFO,INFO VERSTEHEN
CURRENT,newmainmenu_arena_generateenemyfleet,2624,GENERATE,GENERIEREN
CURRENT,newmainmenu_savetosteamcloud,2624,SAVE TO STEAM CLOUD,IN DER STEAM CLOUD SPEICHERN
CURRENT,newmainmenu_steamcloud,2624,STEAM CLOUD,STEAM CLOUD
CURRENT,newmainmenu_cloudquotaremaining,2624,Used: *X / *Y (*Z% remaining),Benutzt: *X / *Y (*Z% verbleibend)
CURRENT,newmainmenu_tooltip_changeship,2624,[LMB] Change ship,[LMB] Schiff wechseln
CURRENT,newmainmenu_tooltip_removeship,2624,[RMB] Remove ship,[RMB] Schiff entfernen
CURRENT,hud_jumpthroughstargate,2624,JUMP THROUGH STARGATE,DURCH DAS STERNENTOR SPRINGEN
CURRENT,hud_jumpgatedistance,2624,ALL SHIPS MUST ENTER JUMPGATE,ALLE SCHIFFE MÜSSEN DAS SPRUNGTOR BETRETEN
CURRENT,hud_jumpgatedamage,2624,JUMPGATE OFFLINE DUE TO DAMAGE,SPRUNGTOR WEGEN BESCHÄDIGUNG OFFLINE
CURRENT,hud_jumpgaterequires,2624,JUMPGATE UNAVAILABLE,SPRUNGTOR NICHT VERFÜGBAR
CURRENT,hud_collector_tooltip_gathering,2624,Gathering *X *Y per second,Sammele *X *Y pro Sekunde
CURRENT,galaxymap_fortress,2624,FORTRESS,FESTUNG
CURRENT,galaxymap_jumpgate,2624,JUMPGATE,SPRUNGTOR
CURRENT,powergrid_category_stargate,2624,STARGATE,STERNENTOR
CURRENT,techtree_refining,2624,Refining,Verfeinerung
CURRENT,techtree_collection,2624,Collection,Sammlung
CURRENT,techtree_smelting,2624,Smelting,Schmelzen
CURRENT,techtree_node_title_zeleongasrefining,2624,Zeleon Gas,Zeleon Gas
CURRENT,techtree_node_caption_zeleongasrefining,2624,"The new gas we've observed seems to be quite unstable and is radiating high amounts of energy, our scientists need to find a safe way to collect and stabilise it.","Das neue Gas, das wir beobachtet haben, scheint ziemlich instabil zu sein und strahlt große Mengen an Energie ab. Unsere Wissenschaftler müssen einen sicheren Weg finden, es zu sammeln und zu stabilisieren."
CURRENT,techtree_node_title_zeleonenergycontainment,2624,Zeleon Energy Containment,Zeleon Energie Eindämmung
CURRENT,techtree_node_caption_zeleonenergycontainment,2624,"Stable Zeleon is a safe, energy-dense gas that could be used for advanced energy storage.","Stabiles Zeleon ist ein sicheres, energiereiches Gas, das für fortschrittliche Energiespeicher verwendet werden könnte."
CURRENT,techtree_node_title_neubidiumprocessing,2624,Neubidium Processing,Neubidium Verarbeitung
CURRENT,techtree_node_caption_neubidiumprocessing,2624,"The mineral collected from the local asteroid has never been seen before, we should investigate its uses.","Das Mineral, das aus dem lokalen Asteroiden gesammelt wurde, wurde noch nie zuvor gesehen, wir sollten seine Verwendung untersuchen."
CURRENT,techtree_node_title_neubidiumfabrication,2624,Neubidium Fabrication,Neubidium Verarbeitung
CURRENT,techtree_node_caption_neubidiumfabrication,2624,"Infuse energy storage with Neubidium, providing it with enhanced efficiency and improved conductive properties.",Energiespeicher mit Neubidium anreichern um ihnen so eine höhere Effizienz und bessere leitende Eigenschaften zu verleihen.
CURRENT,techtree_available_title,2624,RESEARCH AVAILABLE,FORSCHUNG VERFÜGBAR
CURRENT,mission_sectorjumpgate_title,2624,SECTOR OBJECTIVE: Activate the Jumpgate,SEKTORZIEL: Aktiviere das Sprungtor
CURRENT,mission_sectorjumpgate_description1,2624,The Jumpgate at the end of this sector has some requirements before it can be used.,Das Sprungtor am Ende dieses Sektors kann nur unter bestimmten Bedingungen genutzt werden.
CURRENT,mission_sectorjumpgate_damage,2624,"The Jumpgate is damaged, and must be repaired and re-aligned.",Das Sprungtor ist beschädigt und muss repariert und neu ausgerichtet werden.
CURRENT,mission_sectorjumpgate_toll,2624,There is a TRANSIT FEE to pay for use of the Jumpgate. This money covers the operating costs and energy consumption of such a massive facility.,Für die Nutzung des Sprungtors wird eine TRANSITGEBÜHR erhoben. Dieses Geld deckt die Betriebskosten und den Energieverbrauch einer so großen Anlage.
CURRENT,mission_sectorjumpgate_map,2624,Activate the Jumpgate,Aktiviere das Sprungtor
CURRENT,mission_sectorjumpgate_paythetoll,2624,Pay the transit fee (*X),Entrichte die Transitgebühr (*X)
CURRENT,mission_sectorjumpgate_repair,2624,Repair the jumpgate,Repariere das Sprungtor
CURRENT,mission_sectorjumpgate_materials,2624,We need some maintainence supplies before the jumpgate can be used.,"Bevor das Sprungtor benutzt werden kann, brauchen wir einige Wartungsmaterialien."
CURRENT,mission_sectorjumpgate_materialsrequired,2624,We require *X R*Y,Wir benötigen *X R*Y
CURRENT,mission_sectorjumpgate_materialprovided,2624,Provided *X/*Y R*Z,Bereitgestellt *X/*Y R*Z
