
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Neu
dialog_load                             Laden
dialog_save                             Speichern
dialog_saveas                           Speichern unter
dialog_delete                           Löschen
dialog_width                            Breite
dialog_height                           Höhe
dialog_name                             Name
dialog_type                             Art
dialog_x                                X
dialog_y                                Y
dialog_z								Z
dialog_w                                W
dialog_h                                H
dialog_exit                             Beenden
dialog_cancel                           Abbrechen
dialog_ok                               OK
dialog_open                             Öffnen
dialog_close                            Schließen
dialog_closed                           Geschlossen
dialog_add                              Hinzufügen
dialog_up                               Nach oben
dialog_down                             Nach unten
dialog_yes                              Ja
dialog_no                               Nein
dialog_loading                          Laden …
dialog_low                              Niedrig
dialog_medium                           Mittel
dialog_high                             Hoch
dialog_none                             Nichts
ellipsis                                …

# =============================================================================
# Analytics Consent Dialog
# =============================================================================

analyticsconsentdialog_title           Erfassung von Telemetriedaten
analyticsconsentdialog_accept          Zustimmen
analyticsconsentdialog_reject          Ablehnen
analyticsconsentdialog_moreinfo        Weitere Informationen …
analyticsconsentdialog_text            Wir sammeln Nutzungsdaten, damit wir ein besseres Verständnis dafür gewinnen, wie gespielt wird, und damit wir das Spiel verbessern können. \n\nWir erfassen keine personenbezogenen Daten. Wenn du mit der Erfassung einverstanden bist, klicke bitte auf die Schaltfläche „Zustimmen“.



# =============================================================================
# File Dialog
# =============================================================================

filedialog_title                       Datei auswählen

# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title                      Dialog-Editor
dialogeditor_back                       Zurück
dialogeditor_front                      Vorderseite
dialogeditor_reloadlanguage             Sprache neu laden
dialogeditor_test                       Test
dialogeditor_window                     Fenster
dialogeditor_grid                       Gitter
dialogeditor_caption                    Titel
dialogeditor_component                  Komponente
dialogeditor_select						Auswählen
dialogeditor_create						Erstellen
dialogeditor_background                 HG-Bild
dialogeditor_panel                      Bereich

dialogcomponent_custom                  Benutzerdefiniert
dialogcomponent_button                  Taste
dialogcomponent_container               Container
dialogcomponent_caption                 Titel
dialogcomponent_titlecaption            Titel
dialogcomponent_checkbox                Kontrollkästchen
dialogcomponent_inputfield              Eingabefeld
dialogcomponent_inputslider             Eingabe-Schieberegler
dialogcomponent_dropdownmenu            Dropdownmenü
dialogcomponent_selectionlist           Auswahlliste
dialogcomponent_selectionlistitem       Auswahllistenelement
dialogcomponent_scrollbar               Bildlaufleiste
dialogcomponent_progressbar             Statusleiste
dialogcomponent_canvas                  Zeichenbereich
dialogcomponent_iconbox					Symbolfeld

dialogposition_absolute                 Absolut
dialogposition_relative                 Relativ
dialogposition_scaled                   Skaliert


# =============================================================================
# Profiler
# =============================================================================

profiler_title                          Profiler
profiler_name                           Name
profiler_timings                        Timings
profiler_totaltime                      Gesamt
profiler_glfinishcaption                glFinish
profiler_reset                          Zurücksetzen


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title                Sound-Kanäle
soundeditor_title                       Sound-Editor
soundinstanceeditor_title				Sound-Instance-Editor

soundeditor_positiontitle		        Position Art
soundeditor_instancetitle		        Instance-Typ
soundeditor_looptitle			        Loop-Typ
soundeditor_sourcetypetitle		        Sound-Typ
soundeditor_soundnametitle		        Sound-Name

soundeditor_volumetitle			        Lautstärke
soundeditor_frequencytitle              Frequenz
soundeditor_mindistancetitle            Mindestabstand
soundeditor_attacktitle                 Attack
soundeditor_sustaintitle                Sustain
soundeditor_releasetitle                Release
soundeditor_loopdelaytitle              Loop-Verzögerung
soundeditor_dsptitle                    DSP
soundeditor_nexteventtitle              Nächstes Event

soundeditor_play                        Abspielen
soundeditor_stop                        Stopp

soundparametereditor_title              Soundparameter
soundparametereditor_typetitle          Art
soundparametereditor_linktitle          Linked To
soundparametereditor_updatetitle        Update-Typ
soundparametereditor_smoothing          Glätten
soundparametereditor_chaintitle         Chain

soundeditor_newdsp                      DSP hinzufügen
sounddspeditor_title                    DSP-Editor
samplebankeditor_title                  Sample-Bank-Editor
samplebankeditor_addsample              Sound hinzufügen
samplebank                              (Sample-Bank)


# =============================================================================
# Main Menu
# =============================================================================

tagline									THE LAST STARSHIP
mainmenu_title							Hauptmenü
mainmenu_newgameA 						Neues Spiel: Praktyka
mainmenu_newgameB                       Neues Spiel: Sleek
mainmenu_newgameC                       Neues Spiel: Inner Shapes
mainmenu_newgameD                       Neues Spiel: Shipyard
mainmenu_newgameE                       Neues Spiel: Large Logistics
mainmenu_savegame                       Spiel speichern
mainmenu_loadgame                       Spiel laden
mainmenu_abandongame					Spiel abbrechen
mainmenu_steamworkshop                  Steam Workshop
mainmenu_tweet                          Twittere mein Sternenschiff!
mainmenu_legal                          Datenschutz/Rechtliches

mainmenu_gamemode_survival              Überleben
mainmenu_gamemode_survival_tooltip      Sei, solange du kannst, der Anomalie immer einen Schritt voraus.
mainmenu_gamemode_freeroam              Ungebunden
mainmenu_gamemode_freeroam_tooltip      Es steht dir frei, jede Laufbahn einzuschlagen und dabei selbst dein Tempo zu bestimmen. Keine Anomalie.
mainmenu_gamemode_creative              Kreativ
mainmenu_gamemode_creative_tooltip      Dir stehen unbegrenzte Ressourcen zur Verfügung, um jedes Schiff zu bauen, das du willst.
mainmenu_gamemode_industry              Industrie
mainmenu_gamemode_industry_tooltip      Du hast das Ziel, die Voraussetzungen für ein Sternentor nach Andromeda zu erforschen und es zu konstruieren.

mainmenu_stargate_caption               Beteilige Dich am Bau eines galaktischen Megaprojekts – ein STARGATE mit ausreichender Reichweite, um unsere nächste Nachbargalaxie ANDROMEDA zu erreichen

mainmenu_createship						DEVELOPER Schiff erstellen
mainmenu_loadship						DEVELOPER Schiff laden
mainmenu_loadgamedev                    DEVELOPER Testspiel laden

mainmenu_exportship                     Schiff exportieren
mainmenu_importship                     Schiff importieren
mainmenu_importfriendly                 Verbündetes Schiff importieren
mainmenu_importhostile					Gegnerisches Schiff importieren
mainmenu_tools							Entwickler-Tools
mainmenu_quit 							Beenden

settings_analytics                      Analytik
settings_analytics_tooltip              Wir müssen Nutzungsdaten sammeln, um besser zu verstehen, wie Leute spielen, und um das Spiel zu verbessern. \n\nWir erfassen keine personenbezogene Daten.\n\nWeitere Informationen finden Sie unter „Rechtsinformationen“ (unten auf dem Bildschirm).
settings_hud                            HUD anzeigen
settings_music                          Musik
settings_hudscale                       UI-Skalierung
settings_mastervolume                   Hauptlautstärke
settings_effectsvolume                  Effektlautstärke
settings_musicvolume                    Musiklautstärke
settings_fullscreen                     Vollbild
settings_resolution                     Auflösung
settings_language                       Sprache

legal_button                            Rechtsinformationen
wishlist_button                         Zur Wunschliste hinzufügen
feedback_button                         Feedback geben

toolsmenu_title                         Tools-Menü
toolsmenu_dialogeditor                  Dialog-Editor
toolsmenu_spriteeditor                  Sprite-Editor
toolsmenu_close                         Schließen


# =============================================================================
# Steam Workshop Menu
# =============================================================================

steamworkshopmenu_title                         Steam Workshop: Menü

# Save Games section on the left
steamworkshopmenu_savegamesectionlabel          ========================== Gespeicherte Spielstände ==========================
steamworkshopmenu_uploadsavegametitlelabel      Titel
steamworkshopmenu_uploadsavegamedesclabel       Beschreibung
steamworkshopmenu_uploadsavegame                Hochladen
steamworkshopmenu_updateselectedsavegame        Ausgewählte aktualisieren
steamworkshopmenu_savegamelegalagreementtext    Indem du diesen Artikel einreichst, erklärst du dich mit den
steamworkshopmenu_savegamelegalagreementbutton  Nutzungsbedingungen des Workshops einverstanden.
steamworkshopmenu_uploadsavegameprogress        =
steamworkshopmenu_publishedsavegamelistlabel    Veröffentlichte Spielstände
steamworkshopmenu_refreshpublishedsavegamelist  Liste aktualisieren
steamworkshopmenu_subscribedsavegamelistlabel   Abonnierte Spielstände
steamworkshopmenu_refreshsubscribedsavegamelist Liste aktualisieren
steamworkshopmenu_loadselectedsavegame          Laden

# Ship section on the right
steamworkshopmenu_shipsectionlabel              =============================== Schiffe ===============================
steamworkshopmenu_uploadshiptitlelabel          Titel
steamworkshopmenu_uploadshipdesclabel           Beschreibung
steamworkshopmenu_uploadship                    Hochladen
steamworkshopmenu_updateselectedship            Ausgewählte aktualisieren
steamworkshopmenu_shiplegalagreementtext        Indem du diesen Artikel einreichst, erklärst du dich mit den
steamworkshopmenu_shiplegalagreementbutton      Nutzungsbedingungen des Workshops einverstanden.
steamworkshopmenu_uploadshipprogress            =
steamworkshopmenu_publishedshiplistlabel        Veröffentlichte Schiffe
steamworkshopmenu_refreshpublishedshiplist      Liste aktualisieren
steamworkshopmenu_subscribedshiplistlabel       Abonnierte Schiffe
steamworkshopmenu_refreshsubscribedshiplist     Liste aktualisieren
steamworkshopmenu_loadselectedship              Laden

steamworkshopmenu_close                         Schließen


# =============================================================================
# New Main Menu
# =============================================================================

newmainmenu_newgame                     NEUES SPIEL
newmainmenu_loadgame                    SPIEL LADEN
newmainmenu_savegame                    SPIEL SPEICHERN
newmainmenu_settings                    EINSTELLUNGEN
newmainmenu_quit                        BEENDEN
newmainmenu_abandon                     SPIEL ABBRECHEN
newmainmenu_resume                      FORTFAHREN
newmainmenu_chooseship                  STARTSCHIFF AUSWÄHLEN
newmainmenu_begingame                   SPIEL BEGINNEN
newmainmenu_shipeditor                  KREATIVMODUS
newmainmenu_editship                    SCHIFF BEARBEITEN
newmainmenu_loadship                    SCHIFF LADEN
newmainmenu_loadgamedev                 SPIEL LADEN (DEV)
newmainmenu_createship                  NEUES SCHIFF ERSTELLEN
newmainmenu_createnewsave               NEUEN SPEICHERSTAND ERSTELLEN
newmainmenu_exportship                  SCHIFF EXPORTIEREN
newmainmenu_includedocked               ANGEKOPPELTE SCHIFFE MIT EXPORTIEREN
newmainmenu_uploadship                  AUF STEAM HOCHLADEN
newmainmenu_setshipname                 SCHIFFSNAMEN FESTLEGEN
newmainmenu_importhostile               GEGNER IMPORTIEREN
newmainmenu_importfriendly              VERBÜNDETE IMPORTIEREN
newmainmenu_createnewexport             NEUEN EXPORT ERSTELLEN
newmainmenu_createnewupload             NEUES WORKSHOP-OBJEKT ERSTELLEN
newmainmenu_updateexistingupload        BESTEHENDES WORKSHOP-OBJEKT AKTUALISIEREN
newmainmenu_steamworkshop               STEAM WORKSHOP
newmainmenu_uploadprogress              UPLOAD-FORTSCHRITT: *P %
newmainmenu_quitmessage                 Die Early-Access-Phase von „The Last Starship“ beginnt dieses Frühjahr!\n\nVielen Dank, dass du die Demo von „The Last Starship“ gespielt hast.\nSollte dir das Spiel gefallen haben, nimm es bitte in deine Wunschliste bei Steam auf. Dann erfährst du sofort, wenn das Spiel veröffentlicht wird.
newmainmenu_lockedindemo                IN DER DEMO GESPERRT
newmainmenu_multisystem_simulation      Multisystemsimulation aktivieren
newmainmenu_debug_freespace             Debuggen von freiem Stauraum aktivieren

shiplibrary_hullonly                    (HÜLLE)

scenario_funds                          FINANZMITTEL
scenario_praxis                         Eignet sich für neue Spieler am besten. Dieses kleine Wissenschaftsschiff verfügt über alles, was man für interstellare Abenteuer braucht, und seine Vorräte reichen für eine kleine Crew.
scenario_sleek                          Komplexer in allen Belangen. Dieses große und leistungsfähige Schiff bietet viel Raum für Upgrades, allerdings musst du die gesamte Ausrüstung und alle Vorräte selbst kaufen, bevor du an Bord gehst.
scenario_innershapes                    Dieses große Schiff eignet sich gut für den Kampf und gefährliche Einsätze. Der vordere Bereich seiner Hülle ist komplett gepanzert.
scenario_largelogistics                 Dieses Schiff ist modular konzipiert und somit leicht erweiterbar. Es ist perfekt für interstellare Logistik und Ressourcengewinnung geeignet. Die Kabine eignet sich für mehr als 50 Crewmitglieder oder Passagiere.
scenario_carrierfrigate                 Dieser Rumpf eignet sich perfekt für das gewalttätige Streben nach Waffeneinsatz im Kampf.
scenario_shipyard                       Konstruiere dein eigenes Schiff! Das absolute Minimum, was man sich für einen Raumschiffsrumpf so vorstellen kann, aber – du bist an einer voll funktionsfähigen Schiffswerft angekoppelt und verfügst über ein großzügiges Startbudget.
scenario_industry                       Das Projekt Sternentor braucht deine Unterstützung! Du fertigst Teile für das Megaprojekt Sternentor, mit dem du zur Andromeda-Galaxie gelangen willst. Im Mittelpunkt des Fertigungsprozesses stehen Industrie und Automatisierung.
origin_official                         Offiziell
origin_community                        Community
origin_user                             Von Spielern erstellt
origin_steam                            Im Steam Workshop abonniert
origin_steamuser                        Zum Steam Workshop hochgeladen

# =============================================================================
# HUD
# =============================================================================

debugbuildpanel_hull					Hülle
debugbuildpanel_scaffold				Gerüst
debugbuildpanel_interior				Innen
debugbuildpanel_armour					Panzerung
debugbuildpanel_cable					Kabel
debugbuildpanel_pipe					Rohrleitung
debugbuildpanel_equipment				Ausrüstung
debugbuildpanel_floor					Boden
debugbuildpanel_habitation      		Quartiere
debugbuildpanel_wall					Wand
debugbuildpanel_entity					Entität
debugbuildpanel_damage					Schaden
debugbuildpanel_frame                   Rahmen

save_warning_header                     ACHTUNG: Zukünftige Speicherversion wird geladen
save_warning_body                       Sie laden ein Spiel mit einem zukünftigen Speicherformat. Es kann sein, dass einige Teile des Spiels nicht richtig funktionieren

hudmode_tactical						TAKTISCH
hudmode_external						EXTERN
hudmode_multisystemsimulation           MULTISYSTEMSIMULATION

hud_trade								Handel
hud_preparejump							Sprung vorbereiten
hud_abortjump							Sprung abbrechen
hud_aligning							Ausrichten …
hud_outofalignment                      Nicht ausgerichtet …
hud_idle								Leerlauf
hud_ready								BEREIT
hud_jump								SPRINGEN
hud_jumpnextsector						ZUM NÄCHSTEN SEKTOR SPRINGEN
hud_ftlloading							Laden …
hud_ftlcharging  						Aufladen …
hud_ftlcooldown							Cooldown …
hud_ftl									FTL-Antrieb
hud_ftlincluded                         Springen
hud_ftlexcluded                         Bleiben
hud_noftl								KEIN FTL GEFUNDEN
hud_ftlnodestination					KEIN ZIELORT
hud_ftlwaiting                          Warten...
hud_debugbuild                          Debuggen
hud_endcreativemode                     Der Kreativmodus wird beendet,
hud_endcreativemode2                    wenn du in den Hyperraum wechselst.
hud_endcreativemodewarning              KREATIVMODUS WIRD VERLASSEN
hud_endcreativemodefull                 Der Kreativmodus endet, wenn Sie in den Hyperraum springen
hud_hyperspace                          HYPERRAUM

hud_direction_up                        Hafen
hud_direction_right                     Bugwärts
hud_direction_down                      Steuerbord
hud_direction_left                      Achtern
hud_camerattracking                     Kameraverfolgung
hud_enabled                             Aktiviert
hud_disabled                            Deaktiviert

hud_window_construction                 KONSTRUKTION
hud_window_designation					BESTIMMUNG
hud_window_shipyard                     WERFT
hud_window_trade                        HANDEL
hud_window_missions						VERTRÄGE
hud_window_power                        ENERGIEVERSORGUNGSNETZ
hud_window_logistics                    LOGISTIK
hud_window_ftl                          FTL
hud_window_sectormap					SEKTORENKARTE
hud_window_score                        PUNKTESTAND
hud_window_editor                       EDITOR
hud_window_stargate                     STERNENTOR
hud_window_techtree                     FORSCHUNG
hud_window_storage                      LAGERZONEN

hud_scoresystem_population              Bevölkerung
hud_scoresystem_sectorjump              Sektorensprung

hud_overlays							OVERLAYS
hud_overlay_cables                      Kabel
hud_overlay_pipes                       Rohrleitungen
hud_overlay_walls                       Wände
hud_overlay_atmosphere                  Atmosphäre
hud_overlay_exterior                    Außen
hud_overlay_habitation					Quartiere Deck
hud_overlay_jobs						Jobs
hud_overlay_structure                   Struktur
hud_overlay_schematic                   Plan
hud_overlay_creativemode                – Kreativmodus –

hud_doors								TÜREN
hud_doors_openall						Alle öffnen
hud_doors_closeall						Alle schließen
hud_doors_openvents						Alle Belüftung
hud_doors_closevents					Belüftung schließen

hud_orders								BEFEHLE
hud_install                             Installieren
hud_uninstall							Demontieren
hud_status_allocated					Zugewiesen
hud_status_inprogress					In Bearbeitung
hud_storage								Lager
hud_zones								Zonen
hud_storage_cargo						BELIEBIGE FRACHT
hud_storage_equipment				    Beliebige Ausrüstung
hud_storage_component                   Beliebige Komponenten
hud_editor                              EDITOR

hud_shipyard                            Werft
hud_shipyard_buildhull					Hülle konstruieren
hud_shipyard_buildinterior				Innenbereich erstellen
hud_shipyard_buildarmour				Installieren Panzerung
hud_shipyard_buildscaffold				Gerüst bauen
hud_shipyard_buildhabitation            Quartiere hinzufügen Deck
hud_shipyard_buildrepairone             Repariere 100 Schaden.
hud_shipyard_buildrepairall             Repariere den GESAMTEN Schaden.
hud_shipyard_buildbuyfromlibrary        Schiff kaufen
hud_shipyard_selectship                 Wähle ein Schiff aus

hud_tooltip_leftclickplace              [LMT] Platzieren
hud_tooltip_leftclickbuild              [LMT] Bauen
hud_tooltip_leftclickdismantle          [LMT] Demontieren
hud_tooltip_leftclickresearch           [LMT] Forschung
hud_tooltip_rightclickcancel            [RMT] Abbrechen
hud_tooltip_rightclickclear             [RMT] Entfernen
hud_tooltip_rightclickdelete            [RMT] Löschen
hud_tooltip_rightclickpurge             [RMT] Purge
hud_tooltip_leftclickchangerecipe       [LMT] Rezept wechseln
hud_tooltip_rightclickconfigure         [RMT] Konfigurieren
hud_tooltip_rotate                      [R] Drehen
hud_tooltip_boxed                       [VERPACKT]
hud_tooltip_charge                      Ladung
hud_totalproduction                     GESAMTPRODUKTION

hud_mission_collection                  MISSIONSERFÜLLUNG NOCH NICHT ABGESCHLOSSEN

hud_layer_hostile                       GEGNER
hud_layer_derelict                      WRACK
hud_layer_forsale                       [ZU VERKAUFEN]

hud_trade_incoming                      HANDELSANFRAGE
hud_trade_owed                          HANDEL AUSSTEHEND
hud_drones_deployed                     ACHTUNG! EINGESETZTE DROHNEN: *X
hud_spacewalking_crew                   ACHTUNG! CREWMITGLIEDER IM ALL: *X

hud_invalidplacement                    UNZULÄSSIGE PLATZIERUNG
hud_invalidplacement_tooltip            Diese Ausrüstung kann nicht richtig funktionieren, wenn sie an dieser Stelle montiert bzw. installiert ist.

communicator_incomingcall               WIR WERDEN GERUFEN …

