state,key,svn,english,translation
NEW,settings_accentinsensitivesearch,2803,Accent Insensitive Search,강세 구분 없는 검색
NEW,settings_accentinsensitivesearch_description,2803,"When searching in lists, ignore accented characters, e.g. ""é"" will match ""e""","목록에서 검색할 때, 강세 문자를 무시합니다 (예: é는 e로 간주)."
NEW,settings_translatorassist,2803,"Translator Assist (Ctrl, Alt)","번역 도우미 (Ctrl, Alt)"
NEW,settings_translatorassist_description,2803,"Enable features to help translators, such as Alt to reveal English and Ctrl to reveal the phrase key.","AI 제안, 단축키 등 번역가를 도와주는 기능을 활성화합니다."
CURRENT,settings_sound,2793,SOUND,사운드
CURRENT,settings_appearance,2793,APPEARANCE,외형  
CURRENT,settings_keybindings,2793,KEYBOARD,키보드  
CURRENT,settings_other,2793,OTHER,기타  
CURRENT,settings_uibounce,2793,UI Highlight Bounce,UI 강조 애니메이션  
CURRENT,keybinding_title_action,2793,Action,동작  
CURRENT,keybinding_title_key,2793,Key,키  
CURRENT,keybinding_press_a_key,2793,PRESS A KEY,키를 누르세요  
CURRENT,keybinding_revert,2793,RESET,초기화  
CURRENT,keybinding_panleft1,2793,Pan Left (1),왼쪽으로 이동 (1)  
CURRENT,keybinding_panleft2,2793,Pan Left (2),왼쪽으로 이동 (2)  
CURRENT,keybinding_panright1,2793,Pan Right (1),오른쪽으로 이동 (1)  
CURRENT,keybinding_panright2,2793,Pan Right (2),오른쪽으로 이동 (2)  
CURRENT,keybinding_pandown1,2793,Pan Down (1),아래로 이동 (1)  
CURRENT,keybinding_pandown2,2793,Pan Down (2),아래로 이동 (2)  
CURRENT,keybinding_panup1,2793,Pan Up (1),위로 이동 (1)  
CURRENT,keybinding_panup2,2793,Pan Up (2),위로 이동 (2)  
CURRENT,keybinding_zoomin,2793,Zoom In,확대  
CURRENT,keybinding_zoomout,2793,Zoom Out,축소  
CURRENT,keybinding_ManoeuvreLeft,2793,Thrust Left,왼쪽으로 추진  
CURRENT,keybinding_ManoeuvreRight,2793,Thrust Right,오른쪽으로 추진  
CURRENT,keybinding_ManoeuvreUp,2793,Thrust Up,위로 추진  
CURRENT,keybinding_ManoeuvreDown,2793,Thrust Down,아래로 추진  
CURRENT,keybinding_ManoeuvreClockwise,2793,Thrust Clockwise,시계 방향 회전  
CURRENT,keybinding_ManoeuvreCounterClockwise,2793,Thrust C-Clockwise,반시계 방향 회전  
CURRENT,keybinding_toggletactical,2793,Toggle Tactical,전술 모드 전환  
CURRENT,keybinding_togglemap,2793,Toggle Map,지도 전환  
CURRENT,keybinding_increasethrust,2793,Engines +,엔진 +  
CURRENT,keybinding_decreasethrust,2793,Engines -,엔진 -  
CURRENT,keybinding_hudscaleup,2793,Increase HUD Scale,HUD 크기 확대  
CURRENT,keybinding_hudscaledown,2793,Decrease HUD Scale,HUD 크기 축소  
CURRENT,keybinding_recentrehome,2793,Recentre Ship,선박 중심으로 재정렬  
CURRENT,keybinding_togglepause,2793,Pause,일시정지  
CURRENT,keybinding_gamespeed1,2793,Normal Speed,보통 속도  
CURRENT,keybinding_gamespeed2,2793,2x Speed,2배 속도  
CURRENT,keybinding_gamespeed3,2793,3x Speed,3배 속도  
CURRENT,keybinding_gamespeed4,2793,4x Speed,4배 속도  
CURRENT,keybinding_gamespeed5,2793,5x Speed,5배 속도  
CURRENT,keybinding_gamespeed6,2793,6x Speed,6배 속도  
CURRENT,keybinding_gamespeed7,2793,7x Speed,7배 속도  
CURRENT,keybinding_gamespeed8,2793,8x Speed,8배 속도  
CURRENT,keybinding_gamespeed9,2793,9x Speed,9배 속도  
CURRENT,keybinding_gamespeed0,2793,Half Speed,절반 속도  
CURRENT,keybinding_rotateobject,2793,Rotate Object,객체 회전  
CURRENT,keybinding_takescreenshot,2793,Screenshot (+ {MetaCtrl}),스크린샷 (+ {MetaCtrl})  
CURRENT,"keybinding_alttool,",2793,Eye-dropper,스포이트  
CURRENT,origin_shipofficial,2793,OFFICIAL SHIPS,공식 함선  
CURRENT,origin_shipcommunity,2793,COMMUNITY SHIPS,커뮤니티 함선  
CURRENT,origin_shipuser,2793,PLAYER-MADE SHIPS,플레이어 제작 함선
CURRENT,origin_shipsteam,2793,SUBSCRIBED SHIPS ON STEAM WORKSHOP,스팀 창작마당에서 구독한 함선  
CURRENT,origin_shipsteamuser,2793,SHIPS UPLOADED TO STEAM WORKSHOP,스팀 창작마당에 업로드된 함선  
CURRENT,shipeditor_mode_eyedropper,2793,Eyedropper,스포이트  
CURRENT,shipeditor_tooltip_eyedropper,2793,"Lets you select a paint from the exterior of your ship (can also be used by pressing the ""Shift"" key)","선박 외부에서 색상을 선택할 수 있습니다 (""Shift"" 키로도 사용 가능)  "
