state,key,svn,english,translation
NEW,settings_accentinsensitivesearch,2803,Accent Insensitive Search,Søk med ufølsom aksent
NEW,settings_accentinsensitivesearch_description,2803,"When searching in lists, ignore accented characters, e.g. ""é"" will match ""e""","Når du søker i lister, ignorerer du tegn med aksent, f.eks. vil ""é"" matche ""e"""
NEW,settings_translatorassist,2803,"Translator Assist (Ctrl, Alt)","Oversetterassistent (Ctrl, Alt)"
NEW,settings_translatorassist_description,2803,"Enable features to help translators, such as Alt to reveal English and Ctrl to reveal the phrase key.","Aktiver funksjoner som hjelper oversettere, for eksempel Alt for å vise engelsk og Ctrl for å vise frasenøkkelen."
CURRENT,analyticsconsentdialog_title,2803,Collection of Telemetry Data,Innsamling av telemetri-data
CURRENT,analyticsconsentdialog_text,2803,We need to collect usage data to help us to better understand how people are playing and to help us to improve the game. \n\nWe do not collect any personally identifiable information. If you are OK with this please hit the Accept button.,"Vi trenger å samle inn bruksdata for å få en bedre forståelse av hvordan folk spiller og for å hjelpe oss med å forbedre spillet. \n\nVi samler ikke inn personlig identifiserbar informasjon. Hvis dette er greit for deg, trykker du på Godta-knappen."
CURRENT,dialogcomponent_checkbox,2803,Checkbox,Avkrysningsboks
CURRENT,dialogcomponent_iconbox,2803,IconBox,Ikonboks
CURRENT,settings_analytics_tooltip,2803,We need to collect usage data to help us to better understand how people are playing and to help us to improve the game. \n\nWe do not collect any personally identifiable information.\n\nTo find out more visit Legal Information (bottom of the screen),"Vi trenger å samle inn bruksdata for å få en bedre forståelse av hvordan folk spiller og for å hjelpe oss med å forbedre spillet. \n\nVi samler ikke inn personlig identifiserbar informasjon.\n\nFor å finne ut mer, se Juridisk informasjon (nederst på skjermen)"
CURRENT,keybinding_increasethrust,2803,Engines +,Motorer +
CURRENT,keybinding_decreasethrust,2803,Engines -,Motorer -
