state,key,svn,english,translation
NEW,trade_waitingfor,2501,Waiting for *X x *Y,Aguardando *X x *Y
NEW,alert_type_autotradeinactive,2501,AUTO-TRADE INACTIVE,AUTO-TROCA INATIVA
NEW,alert_type_autotradeinactive_tooltip,2501,One or more of your automatic orders were disabled. This might have happened because you owe a large amount to X.,Uma ou mais das suas ordens automáticas foram desativadas. Isso pode ter ocorrido porque você deve um valor alto a X.
CURRENT,tutorial_dsiclosedismantle,2489,We can stop dismantling by clicking the dismantle button again or by closing the construction menu.\n\nClose the menu by clicking the CONSTRUCTION button or by pressing ESC.,Podemos parar o desmonte clicando novamente no botão Desmontar ou fechando o menu de construção.\n\nFeche o menu clicando no botão CONSTRUÇÃO ou pressionando ESC.
CURRENT,dsi_part1_objective_storescrap,2489,Store scrap metal near Smelter [*X/10],Armazene sucata próxima à Fundição [*X/10]
CURRENT,dsi_part1_objective_storeingots,2489,Store Metal Ingots near Smelter [*X/10],Armazene Lingotes de Metal perto da Fundição [*X/10]
CURRENT,language_helpustranslate,2448,Help Us Translate!,Ajude-nos a traduzir!
CURRENT,language_system,2481,System,Sistema
CURRENT,settings_credit_tooltip,2475,With thanks to:,Agradecimentos a:
CURRENT,newmainmenu_tooltip_selectship,2475,[LMB] Select,[LMB] Selecionar
CURRENT,mission_sectorprotect_map,2475,Investigate Distress Call,Investigar Chamado de Socorro
CURRENT,mission_sectorprotect_sos1,2475,"To any vessel, we are under attack!  Please help, we won't last much longer!","Para qualquer nave, estamos sob ataque! Por favor, ajudem, não vamos aguentar por muito tempo!"
CURRENT,mission_sectorprotect_call,2475,INCOMING DISTRESS CALL,CHAMADA DE SOCORRO ENTRANTE
CURRENT,techtree_node_caption_hydroponics2,2475,"Further improves crop yield, and unlocks schematics to manufacture Hydroponics Modules",Melhora ainda mais a produção de culturas e desbloqueia esquemas para fabricar Módulos Hidropônicos
CURRENT,mission_sectorprotect_offer1,2475,Thank you Captain! We would never have survived without your assistance.,"Obrigado, Capitão! Nunca teríamos sobrevivido sem sua ajuda."
CURRENT,mission_sectorprotect_offer2,2475,We'd be honoured to join forces with your fleet.,Seria uma honra unir forças com sua frota.
CURRENT,newmainmenu_quitmessage,2475,"We hope you enjoyed playing the demo of The Last Starship. Your journey has just begun!  Unlock the full game to explore more Story Episodes, Survival Mode, Arena Mode, a full Ship Editor and more!","Esperamos que você tenha gostado da demo de The Last Starship. Sua jornada está apenas começando! Desbloqueie o jogo completo para explorar mais Episódios de História, Modo Sobrevivência, Modo Arena, um Editor de Naves completo e muito mais!"
CURRENT,hud_window_sectormap,2475,SECTOR MAP ({ToggleMap}),MAPA DO SETOR ({ToggleMap})
CURRENT,hud_tactical,2475,TACTICAL ({ToggleTactical}),TÁTICO ({ToggleTactical})
