state,key,svn,english,translation
CURRENT,settings_exitsaves_tooltip,2675,"When enabled, the current game will be saved when abandoned or when the game is quit in a file called exitsave.\n\nCAUTION: This file will be overwritten on every exit.","Als dit is ingeschakeld, wordt het huidige spel opgeslagen wanneer het wordt verlaten of wanneer het spel wordt afgesloten in een bestand met de naam exitsave.\n\nLET OP: Dit bestand wordt bij elke exit overschreven."
CURRENT,settings_dynamiclighting,2675,Use Dynamic Lighting,Dynamische verlichting gebruiken
CURRENT,newmainmenu_exitsaves,2675,Exit-saves,Afsluiten bespaart
CURRENT,hud_ftlshipnotviablewarning,2675,Ship needs either hull or scaffolding to be brought into hyperspace,Schip heeft romp of steiger nodig om in hyperspace te komen
CURRENT,trade_cancelautotrade,2675,CANCEL AUTO-TRADE,AUTOHANDEL ANNULEREN
CURRENT,trade_autotradecancelled,2675,CANCELLED,GEANNULEERD
CURRENT,hud_collector_tooltip_totalgathered,2675,TOTAL GATHERED,TOTAAL GEDRAGD
CURRENT,save_cloudsavefailed_header,2639,WARNING: Cloud Save Failed,WAARSCHUWING: Cloud opslaan mislukt
CURRENT,save_cloudsavefailed_body,2639,"The game failed to save to the cloud, the game has been saved locally instead.\n\nPlease check that you have enough storage in the Steam Cloud and try again.","Het spel is niet opgeslagen in de cloud, het spel is in plaats daarvan lokaal opgeslagen.\n\nControleer of je genoeg opslagruimte hebt in de Steam Cloud en probeer het opnieuw."
CURRENT,stargate_newsystems_harken_2,2639,"Unfortunately it seems pirates have gotten to them first, and have set up their own shipyards around the Neubidium deposits in the system.",Helaas lijken piraten hen voor te zijn geweest en hebben ze hun eigen scheepswerven opgezet rond de Neubidium-afzettingen in het systeem.
CURRENT,mission_type_sectorjumpgate,2639,Jumpgate (Sector),Jumpgate (Sector)
CURRENT,techtree_refining,2624,Refining,Verfijnen
CURRENT,techtree_collection,2624,Collection,Collectie
CURRENT,techtree_smelting,2624,Smelting,Smelten
CURRENT,techtree_node_title_zeleongasrefining,2624,Zeleon Gas,Zeleon Gas
CURRENT,techtree_node_caption_zeleongasrefining,2624,"The new gas we've observed seems to be quite unstable and is radiating high amounts of energy, our scientists need to find a safe way to collect and stabilise it.",Het nieuwe gas dat we hebben waargenomen lijkt behoorlijk onstabiel en straalt grote hoeveelheden energie uit. Onze wetenschappers moeten een veilige manier vinden om het te verzamelen en te stabiliseren.
CURRENT,techtree_node_title_zeleonenergycontainment,2624,Zeleon Energy Containment,Zeleon Energie Insluiting
CURRENT,techtree_node_caption_zeleonenergycontainment,2624,"Stable Zeleon is a safe, energy-dense gas that could be used for advanced energy storage.","Stabiel Zeleon is een veilig, energiedicht gas dat gebruikt zou kunnen worden voor geavanceerde energieopslag."
CURRENT,techtree_node_title_neubidiumprocessing,2624,Neubidium Processing,Neubidium verwerking
CURRENT,techtree_node_caption_neubidiumprocessing,2624,"The mineral collected from the local asteroid has never been seen before, we should investigate its uses.","Het mineraal dat van de plaatselijke asteroïde is verzameld, is nog nooit eerder gezien, we moeten de toepassingen ervan onderzoeken."
CURRENT,techtree_node_title_neubidiumfabrication,2624,Neubidium Fabrication,Neubidium Fabricage
