state,key,svn,english,translation
CURRENT,settings_exitsaves_tooltip,2675,"When enabled, the current game will be saved when abandoned or when the game is quit in a file called exitsave.\n\nCAUTION: This file will be overwritten on every exit.","Quando ativado, o jogo atual será salvo quando abandonado ou quando o jogo for encerrado em um arquivo chamado exitsave.\n\nCuidado: esse arquivo será sobrescrito a cada saída."
CURRENT,settings_dynamiclighting,2675,Use Dynamic Lighting,Use iluminação dinâmica
CURRENT,newmainmenu_exitsaves,2675,Exit-saves,Sair - salva
CURRENT,hud_ftlshipnotviablewarning,2675,Ship needs either hull or scaffolding to be brought into hyperspace,A nave precisa de um casco ou de um andaime para ser levada ao hiperespaço
CURRENT,trade_cancelautotrade,2675,CANCEL AUTO-TRADE,CANCELAR O COMÉRCIO AUTOMÁTICO
CURRENT,trade_autotradecancelled,2675,CANCELLED,CANCELADO
CURRENT,hud_collector_tooltip_totalgathered,2675,TOTAL GATHERED,TOTAL DE GASTOS
CURRENT,save_cloudsavefailed_header,2639,WARNING: Cloud Save Failed,AVISO: Falha ao salvar na nuvem
CURRENT,save_cloudsavefailed_body,2639,"The game failed to save to the cloud, the game has been saved locally instead.\n\nPlease check that you have enough storage in the Steam Cloud and try again.","Não foi possível salvar o jogo na nuvem; em vez disso, o jogo foi salvo localmente.\n\nPor favor, verifique se você tem armazenamento suficiente na Steam Cloud e tente novamente."
CURRENT,mission_type_sectorjumpgate,2639,Jumpgate (Sector),Jumpgate (Setor)
CURRENT,stargate_newsystems_harken_2,2639,"Unfortunately it seems pirates have gotten to them first, and have set up their own shipyards around the Neubidium deposits in the system.","Infelizmente, parece que os piratas chegaram primeiro a eles e montaram seus próprios estaleiros em torno dos depósitos de Neubidium no sistema."
CURRENT,dialog_new,2624,New,Novo
CURRENT,dialog_load,2624,Load,Carga
CURRENT,dialog_save,2624,Save,Salvar
CURRENT,dialog_saveas,2624,Save As,Salvar como
CURRENT,dialog_delete,2624,Delete,Excluir
CURRENT,dialog_width,2624,Width,Largura
CURRENT,dialog_height,2624,Height,Altura
CURRENT,dialog_name,2624,Name,Nome
CURRENT,dialog_type,2624,Type,Tipo
CURRENT,dialog_x,2624,X,X
CURRENT,dialog_y,2624,Y,Y
CURRENT,dialog_z,2624,Z,Z
CURRENT,dialog_w,2624,W,W
CURRENT,dialog_h,2624,H,H
CURRENT,dialog_exit,2624,Exit,Sair
CURRENT,dialog_cancel,2624,Cancel,Cancelar
CURRENT,dialog_ok,2624,Ok,Ok
CURRENT,dialog_open,2624,Open,Aberto
CURRENT,dialog_close,2624,Close,Fechar
CURRENT,dialog_closed,2624,Closed,Fechado
CURRENT,dialog_add,2624,Add,Adicionar
CURRENT,dialog_up,2624,Up,Para cima
CURRENT,dialog_down,2624,Down,Abaixo
CURRENT,dialog_yes,2624,Yes,Sim
CURRENT,dialog_no,2624,No,Não
CURRENT,dialog_loading,2624,Loading...,Carregando...
CURRENT,dialog_low,2624,Low,Baixa
CURRENT,dialog_medium,2624,Medium,Médio
CURRENT,dialog_high,2624,High,Alta
CURRENT,dialog_none,2624,None,Nenhum
CURRENT,ellipsis,2624,...,...
CURRENT,language_system,2624,System,Sistema
CURRENT,analyticsconsentdialog_title,2624,Collection of Telemetry Data,Coleta de dados de telemetria
CURRENT,analyticsconsentdialog_accept,2624,Accept,Aceitar
CURRENT,analyticsconsentdialog_reject,2624,Reject,Rejeitar
CURRENT,analyticsconsentdialog_moreinfo,2624,More Info...,Mais informações...
CURRENT,analyticsconsentdialog_text,2624,We need to collect usage data to help us to better understand how people are playing and to help us to improve the game. \n\nWe do not collect any personally identifiable information. If you are OK with this please hit the Accept button.,"Precisamos coletar dados de uso para nos ajudar a entender melhor como as pessoas estão jogando e para nos ajudar a melhorar o jogo.\n\nNão coletamos nenhuma informação pessoal identificável. Se você estiver de acordo com isso, clique no botão Aceitar."
CURRENT,filedialog_title,2624,Choose a File,Escolha um arquivo
CURRENT,dialogeditor_title,2624,Dialog Editor,Editor de diálogo
CURRENT,dialogeditor_back,2624,Back,Voltar
CURRENT,dialogeditor_front,2624,Front,Frente
CURRENT,dialogeditor_reloadlanguage,2624,Reload Language,Idioma de recarga
CURRENT,dialogeditor_test,2624,Test,Teste
CURRENT,dialogeditor_window,2624,Window,Janela
CURRENT,dialogeditor_grid,2624,Grid,Grade
CURRENT,dialogeditor_caption,2624,Caption,Legenda
CURRENT,dialogeditor_component,2624,Component,Componente
CURRENT,dialogeditor_select,2624,Select,Selecione
CURRENT,dialogeditor_create,2624,Create,Criar
CURRENT,dialogeditor_background,2624,BG img,Imagem BG
CURRENT,dialogeditor_panel,2624,Panel,Painel
CURRENT,dialogcomponent_custom,2624,Custom,Personalizado
CURRENT,dialogcomponent_button,2624,Button,Botão
CURRENT,dialogcomponent_container,2624,Container,Contêineres
CURRENT,dialogcomponent_caption,2624,Caption,Legenda
CURRENT,dialogcomponent_titlecaption,2624,TitleCaption,TítuloCapítulo
CURRENT,dialogcomponent_checkbox,2624,Checkbox,Caixa de seleção
CURRENT,dialogcomponent_inputfield,2624,InputField,InputField
CURRENT,dialogcomponent_inputslider,2624,InputSlider,InputSlider
CURRENT,dialogcomponent_dropdownmenu,2624,DropDownMenu,DropDownMenu
CURRENT,dialogcomponent_selectionlist,2624,SelectionList,Lista de seleção
CURRENT,dialogcomponent_selectionlistitem,2624,SelectionListItem,SelectionListItem
CURRENT,dialogcomponent_scrollbar,2624,Scrollbar,Barra de rolagem
CURRENT,dialogcomponent_progressbar,2624,ProgressBar,Barra de progresso
CURRENT,dialogcomponent_canvas,2624,Canvas,Tela
CURRENT,dialogcomponent_iconbox,2624,IconBox,IconBox
CURRENT,dialogposition_absolute,2624,Absolute,Absoluto
CURRENT,dialogposition_relative,2624,Relative,Relativo
CURRENT,dialogposition_scaled,2624,Scaled,Em escala
CURRENT,profiler_title,2624,Profiler,Perfil
CURRENT,profiler_name,2624,Name,Nome
CURRENT,profiler_timings,2624,Timings,Horários
CURRENT,profiler_totaltime,2624,Total,Total
CURRENT,profiler_glfinishcaption,2624,glFinish,glFinish
CURRENT,profiler_reset,2624,Reset,Redefinir
CURRENT,soundchannelviewer_title,2624,Sound Channels,Canais de som
CURRENT,soundeditor_title,2624,Sound Editor,Editor de som
CURRENT,soundinstanceeditor_title,2624,Sound Instance Editor,Editor de instância de som
CURRENT,soundeditor_positiontitle,2624,Position Type,Tipo de posição
CURRENT,soundeditor_instancetitle,2624,Instance Type,Tipo de instância
CURRENT,soundeditor_looptitle,2624,Loop Type,Tipo de loop
