state,key,svn,english,translation
NEW,settings_accentinsensitivesearch,2803,Accent Insensitive Search,Accent okänslig sökning
NEW,settings_accentinsensitivesearch_description,2803,"When searching in lists, ignore accented characters, e.g. ""é"" will match ""e""","När du söker i listor ignorerar du tecken med accent, t.ex. ""é"" kommer att matcha ""e"""
NEW,settings_translatorassist,2803,"Translator Assist (Ctrl, Alt)","Översättningshjälp (Ctrl, Alt)"
NEW,settings_translatorassist_description,2803,"Enable features to help translators, such as Alt to reveal English and Ctrl to reveal the phrase key.","Aktivera funktioner som underlättar för översättare, t.ex. Alt för att visa engelska och Ctrl för att visa frasnyckeln."
CURRENT,settings_sound,2793,SOUND,LJUD
CURRENT,settings_appearance,2793,APPEARANCE,UPPTRÄDANDE
CURRENT,settings_keybindings,2793,KEYBOARD,TANGENTBORD
CURRENT,settings_other,2793,OTHER,ÖVRIGT
CURRENT,settings_uibounce,2793,UI Highlight Bounce,UI Highlight Bounce
CURRENT,keybinding_title_action,2793,Action,Åtgärd
CURRENT,keybinding_title_key,2793,Key,Nyckel
CURRENT,keybinding_press_a_key,2793,PRESS A KEY,TRYCK PÅ EN TANGENT
CURRENT,keybinding_revert,2793,RESET,ÅTERSTÄLLNING
CURRENT,keybinding_panleft1,2793,Pan Left (1),Pan vänster (1)
CURRENT,keybinding_panleft2,2793,Pan Left (2),Pan vänster (2)
CURRENT,keybinding_panright1,2793,Pan Right (1),Pan höger (1)
CURRENT,keybinding_panright2,2793,Pan Right (2),Pan höger (2)
CURRENT,keybinding_pandown1,2793,Pan Down (1),Panorera ner (1)
CURRENT,keybinding_pandown2,2793,Pan Down (2),Panorera ner (2)
CURRENT,keybinding_panup1,2793,Pan Up (1),Panna upp (1)
CURRENT,keybinding_panup2,2793,Pan Up (2),Panna upp (2)
CURRENT,keybinding_zoomin,2793,Zoom In,Zooma in
CURRENT,keybinding_zoomout,2793,Zoom Out,Zooma ut
CURRENT,keybinding_ManoeuvreLeft,2793,Thrust Left,Tryck vänster
CURRENT,keybinding_ManoeuvreRight,2793,Thrust Right,Tryck höger
CURRENT,keybinding_ManoeuvreUp,2793,Thrust Up,Tryck upp
CURRENT,keybinding_ManoeuvreDown,2793,Thrust Down,Tryck ner
CURRENT,keybinding_ManoeuvreClockwise,2793,Thrust Clockwise,Tryckkraft medurs
