
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nouveau
dialog_load                             Charger
dialog_save                             Sauvegarder
dialog_saveas                           Sauvegarder sous
dialog_delete                           effacer
dialog_width                            Largeur
dialog_height                           Hauteur
dialog_name                             Nom
dialog_type                             Type
dialog_x                                X
dialog_y                                Y
dialog_z								Z
dialog_w                                W
dialog_h                                H
dialog_exit                             Sortie
dialog_cancel                           Annule
dialog_ok                               Ok
dialog_open                             ouvrir
dialog_close                            fermer
dialog_closed                           fermee
dialog_add                              Ajouter
dialog_up                               Haut
dialog_down                             Bas
dialog_yes                              Oui
dialog_no                               Non
dialog_loading                          Chargement...
dialog_low                              Faible
dialog_medium                           Moyen
dialog_high                             Haut
dialog_none                             Aucune
ellipsis                                ...

# =============================================================================
# Analytics Consent Dialog
# =============================================================================

analyticsconsentdialog_title           Collecte de donnees de telemetrie
analyticsconsentdialog_accept          Accepter
analyticsconsentdialog_reject          Rejeter
analyticsconsentdialog_moreinfo        Plus d'informations...
analyticsconsentdialog_text            Nous devons collecter des donnees d'utilisation pour nous aider a mieux comprendre comment les gens jouent et a ameliorer le jeu. \n\nNous ne collectons aucune information personnelle identifiable. Si cela vous convient, veuillez cliquer sur le bouton Accepter.


# =============================================================================
# File Dialog
# =============================================================================

filedialog_title                       Choisissez un fichier

# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title                      Dialog Editor
dialogeditor_back                       Back
dialogeditor_front                      Front
dialogeditor_reloadlanguage             Reload Language
dialogeditor_test                       Test
dialogeditor_window                     Window
dialogeditor_grid                       Grid
dialogeditor_caption                    Caption
dialogeditor_component                  Component
dialogeditor_select						Select
dialogeditor_create						Create
dialogeditor_background                 BG img
dialogeditor_panel                      Panel

dialogcomponent_custom                  Custom
dialogcomponent_button                  Button
dialogcomponent_container               Container
dialogcomponent_caption                 Caption
dialogcomponent_titlecaption            TitleCaption
dialogcomponent_checkbox                Checkbox
dialogcomponent_inputfield              InputField
dialogcomponent_inputslider             InputSlider
dialogcomponent_dropdownmenu            DropDownMenu
dialogcomponent_selectionlist           SelectionList
dialogcomponent_selectionlistitem       SelectionListItem
dialogcomponent_scrollbar               Scrollbar
dialogcomponent_progressbar             ProgressBar
dialogcomponent_canvas                  Canvas
dialogcomponent_iconbox					IconBox

dialogposition_absolute                 Absolute
dialogposition_relative                 Relative
dialogposition_scaled                   Scaled


# =============================================================================
# Profiler
# =============================================================================

profiler_title                          Profileur
profiler_name                           Nom
profiler_timings                        Horaires
profiler_totaltime                      Total
profiler_glfinishcaption                glFinish
profiler_reset                          Réinitialiser


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title                Canaux sonores
soundeditor_title                       Editeur de son
soundinstanceeditor_title				Editeur d'instances sonores

soundeditor_positiontitle		        Type de poste
soundeditor_instancetitle		        Type d'instance
soundeditor_looptitle			        Type de boucle
soundeditor_sourcetypetitle		        Type de son
soundeditor_soundnametitle		        Nom du son

soundeditor_volumetitle			        Volume
soundeditor_frequencytitle              Fréquence
soundeditor_mindistancetitle            Distance minimale
soundeditor_attacktitle                 Attaque
soundeditor_sustaintitle                Maintenir
soundeditor_releasetitle                Sortie
