
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              New
dialog_load                             Load
dialog_save                             Save
dialog_saveas                           Save As
dialog_delete                           Delete
dialog_width                            Width
dialog_height                           Height
dialog_name                             Name
dialog_type                             Type
dialog_x                                X
dialog_y                                Y
dialog_z								Z
dialog_w                                W
dialog_h                                H
dialog_exit                             Exit
dialog_cancel                           Cancel
dialog_ok                               Ok
dialog_open                             Open
dialog_close                            Close
dialog_closed                           Closed
dialog_add                              Add
dialog_up                               Up
dialog_down                             Down
dialog_yes                              Yes
dialog_no                               No
dialog_loading                          Loading...
dialog_low                              Low
dialog_medium                           Medium
dialog_high                             High
dialog_none                             None
ellipsis                                ...

# =============================================================================
# Analytics Consent Dialog
# =============================================================================

analyticsconsentdialog_title           Collection of Telemetry Data
analyticsconsentdialog_accept          Accept
analyticsconsentdialog_reject          Reject
analyticsconsentdialog_moreinfo        More Info...
analyticsconsentdialog_text            We need to collect usage data to help us to better understand how people are playing and to help us to improve the game. \n\nWe do not collect any personally identifiable information. If you are OK with this please hit the Accept button.


# =============================================================================
# File Dialog
# =============================================================================

filedialog_title                       Choose a File

# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title                      Dialog Editor
dialogeditor_back                       Back
dialogeditor_front                      Front
dialogeditor_reloadlanguage             Reload Language
dialogeditor_test                       Test
dialogeditor_window                     Window
dialogeditor_grid                       Grid
dialogeditor_caption                    Caption
dialogeditor_component                  Component
dialogeditor_select						Select
dialogeditor_create						Create
dialogeditor_background                 BG img
dialogeditor_panel                      Panel

dialogcomponent_custom                  Custom
dialogcomponent_button                  Button
dialogcomponent_container               Container
dialogcomponent_caption                 Caption
dialogcomponent_titlecaption            TitleCaption
dialogcomponent_checkbox                Checkbox
dialogcomponent_inputfield              InputField
dialogcomponent_inputslider             InputSlider
dialogcomponent_dropdownmenu            DropDownMenu
dialogcomponent_selectionlist           SelectionList
dialogcomponent_selectionlistitem       SelectionListItem
dialogcomponent_scrollbar               Scrollbar
dialogcomponent_progressbar             ProgressBar
dialogcomponent_canvas                  Canvas
dialogcomponent_iconbox					IconBox

dialogposition_absolute                 Absolute
dialogposition_relative                 Relative
dialogposition_scaled                   Scaled


# =============================================================================
# Profiler
# =============================================================================

profiler_title                          Profiler
profiler_name                           Name
profiler_timings                        Timings
profiler_totaltime                      Total
profiler_glfinishcaption                glFinish
profiler_reset                          Reset


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title                Sound Channels
soundeditor_title                       Sound Editor
soundinstanceeditor_title				Sound Instance Editor

soundeditor_positiontitle		        Position Type
soundeditor_instancetitle		        Instance Type
soundeditor_looptitle			        Loop Type
soundeditor_sourcetypetitle		        Sound Type
soundeditor_soundnametitle		        Sound Name

soundeditor_volumetitle			        Volume
soundeditor_frequencytitle              Frequency
soundeditor_mindistancetitle            Min Distance
soundeditor_attacktitle                 Attack
soundeditor_sustaintitle                Sustain
soundeditor_releasetitle                Release
soundeditor_loopdelaytitle              Loop Delay
soundeditor_dsptitle                    DSP
soundeditor_nexteventtitle              Next Event

soundeditor_play                        Play
soundeditor_stop                        Stop

soundparametereditor_title              Sound Parameter
soundparametereditor_typetitle          Type
soundparametereditor_linktitle          Linked To
soundparametereditor_updatetitle        Update Type
soundparametereditor_smoothing          Smoothing
soundparametereditor_chaintitle         Chain

soundeditor_newdsp                      Add DSP
sounddspeditor_title                    DSP Editor
samplebankeditor_title                  Sample Bank Editor
samplebankeditor_addsample              Add Sound
samplebank                              (Sample Bank)


# =============================================================================
# Main Menu
# =============================================================================

tagline									THE LAST STARSHIP
mainmenu_title							Main Menu 
mainmenu_newgameA 						New Game - Praxis
mainmenu_newgameB                       New Game - Sleek
mainmenu_newgameC                       New Game - Inner Shapes
mainmenu_newgameD                       New Game - Shipyard
mainmenu_newgameE                       New Game - Large Logistics
mainmenu_savegame                       Save Game
mainmenu_loadgame                       Load Game
mainmenu_abandongame					Abandon Game
mainmenu_steamworkshop                  Steam Workshop
mainmenu_tweet                          Tweet My Starship!
mainmenu_legal                          Privacy / Legal

mainmenu_gamemode_survival              Survival
mainmenu_gamemode_survival_tooltip      Stay one step ahead of a devastating anomaly, for as long as you can
mainmenu_gamemode_freeroam              Free Roam
mainmenu_gamemode_freeroam_tooltip      You are free to persue any career at your own pace. No anomaly, no stargate.
mainmenu_gamemode_creative              Creative
mainmenu_gamemode_creative_tooltip      You have unlimited resources to build any ship you want
mainmenu_gamemode_industry              STARGATE PROJECT
mainmenu_gamemode_industry_tooltip      Your aim is to research and build a stargate to Andromeda

mainmenu_stargate_caption               Take part in the construction of a galactic megaproject - a STARGATE with enough range to reach our nearest neighbouring galaxy ANDROMEDA

mainmenu_createship						DEVELOPER Create Ship
mainmenu_loadship						DEVELOPER Load Ship
mainmenu_loadgamedev                    DEVELOPER Load Test Game

mainmenu_exportship                     Export Ship
mainmenu_importship                     Import Ship
mainmenu_importfriendly                 Import Friendly Ship
mainmenu_importhostile					Import Hostile Ship
mainmenu_tools							Developer Tools
mainmenu_quit 							Quit

settings_analytics                      Analytics
settings_hud                            Show HUD
settings_music                          Music
settings_hudscale                       UI Scale
settings_mastervolume                   Master Volume
settings_effectsvolume                  Effects Volume
settings_musicvolume                    Music Volume
settings_fullscreen                     Fullscreen
settings_resolution                     Resolution
settings_language                       Language

legal_button                            Legal Information
wishlist_button                         Add to Wishlist
feedback_button                         Give Feedback

toolsmenu_title                         Tools Menu
toolsmenu_dialogeditor                  Dialog Editor
toolsmenu_spriteeditor                  Sprite Editor
toolsmenu_close                         Close


# =============================================================================
# Steam Workshop Menu
# =============================================================================

steamworkshopmenu_title                         Steam Workshop Menu

# Save Games section on the left
steamworkshopmenu_savegamesectionlabel          ========================== Save Games ==========================
steamworkshopmenu_uploadsavegametitlelabel      Title
steamworkshopmenu_uploadsavegamedesclabel       Description
steamworkshopmenu_uploadsavegame                Upload
steamworkshopmenu_updateselectedsavegame        Update Selected
steamworkshopmenu_savegamelegalagreementtext    By submitting this item, you agree to the
steamworkshopmenu_savegamelegalagreementbutton  workshop terms of service
steamworkshopmenu_uploadsavegameprogress        =
steamworkshopmenu_publishedsavegamelistlabel    Published Save Games
steamworkshopmenu_refreshpublishedsavegamelist  Refresh List
steamworkshopmenu_subscribedsavegamelistlabel   Subscribed Save Games
steamworkshopmenu_refreshsubscribedsavegamelist Refresh List
steamworkshopmenu_loadselectedsavegame          Load

# Ship section on the right
steamworkshopmenu_shipsectionlabel              =============================== Ships ===============================
steamworkshopmenu_uploadshiptitlelabel          Title
steamworkshopmenu_uploadshipdesclabel           Description
steamworkshopmenu_uploadship                    Upload
steamworkshopmenu_updateselectedship            Update Selected
steamworkshopmenu_shiplegalagreementtext        By submitting this item, you agree to the
steamworkshopmenu_shiplegalagreementbutton      workshop terms of service
steamworkshopmenu_uploadshipprogress            =
steamworkshopmenu_publishedshiplistlabel        Published Ships
steamworkshopmenu_refreshpublishedshiplist      Refresh List
steamworkshopmenu_subscribedshiplistlabel       Subscribed Ships
steamworkshopmenu_refreshsubscribedshiplist     Refresh List
steamworkshopmenu_loadselectedship              Load

steamworkshopmenu_close                         Close


# =============================================================================
# New Main Menu
# =============================================================================

