state,key,svn,english,translation
NEW,settings_credits,3149,CREDITS,CRÉDITOS
NEW,newmainmenu_savetosteamcloud_tooltip,3149,The game will be saved to Steam Cloud when enabled. A warning will show if the save fails.,El juego se guardará en Steam Cloud cuando esté activado. Aparecerá una advertencia si el guardado falla.
NEW,newmainmenu_saveoptions,3149,Save Options,Guardar opciones
NEW,hud_tooltip_switchflooring,3149,[{RotateObject}] Switch flooring style,[{RotateObject}] Cambiar el estilo del suelo
NEW,hud_tooltip_currentflooring,3149,Current style: *X,Estilo actual: *X
NEW,hud_tooltip_gratedflooring,3149,Grated,Rallado
NEW,hud_tooltip_normalflooring,3149,Normal,Normal
NEW,hud_hull_integrity,3149,HULL,HULL
NEW,hud_power_battery,3149,BATTERY,BATERÍA
NEW,hud_power_powershortage,3149,POWER SHORTAGE,ESCASEZ DE ENERGÍA
NEW,hud_idlecrew,3149,Idle Crew,Tripulantes ociosos
NEW,hud_consumingperhour,3149,Consuming *X per hour,Consumiendo *X por hora
NEW,hud_dehydrationperperson,3149,Dehydration *X per person,Deshidratación *X por persona
NEW,hud_hungerperperson,3149,Hunger *X per person,Hambre *X por persona
NEW,hud_byauthor,3149,BY *X,POR *X
NEW,communicator_newobjective,3149,NEW OBJECTIVE,NUEVO OBJETIVO
NEW,galaxymap_stargate,3149,STARGATE,STARGATE
NEW,trade_canceltrade,3149,CANCEL TRADE AND REFUND,ANULAR COMERCIO Y REEMBOLSO
NEW,trade_refundvalue,3149,REFUND VALUE,VALOR DE REEMBOLSO
NEW,trade_cancellationcost,3149,CANCELLATION COST,GASTOS DE ANULACIÓN
NEW,trade_partiallyfilled,3149,PARTIALLY FILLED,PARCIALMENTE LLENO
NEW,trade_incompletecomponent,3149,INCOMPLETE COMPONENT,COMPONENTE INCOMPLETO
NEW,trade_removeincomplete,3149,REMOVE INCOMPLETE,ELIMINAR INCOMPLETO
NEW,trade_removepartiallyfilled,3149,REMOVE PARTIALLY FILLED,RETIRA LOS PARCIALMENTE LLENOS
NEW,trade_order_normal,3149,(*X),(*X)
NEW,trade_order_buy_on_sell_screen,3149,(BUY *X),(COMPRAR *X)
NEW,trade_order_sell_on_buy_screen,3149,(SELL *X),(VENDER *X)
NEW,trade_order_sack_on_buy_screen,3149,(SACK *X),(SACK *X)
NEW,techtree_researchpercent,3149,*X% Complete,*X% Completo
NEW,tooltip_efficiency,3149,Efficiency +*X%,Eficacia +*X%
NEW,tooltip_activating,3149,Activating +*X%,Activando +*X%
NEW,alert_type_lowdeuterium,3149,LOW DEUTERIUM,DEUTERIO BAJO
NEW,stargate_unknowncomponent,3149,Unknown Component,Componente desconocido
NEW,stargate_unknowncomponent_description,3149,Unlock this component through research!,¡Desbloquea este componente mediante la investigación!
NEW,creditstitle_builders,3149,Ship Builders,Constructores navales
NEW,creditstitle_testers,3149,Early Play Testing,Primeras pruebas de juego
NEW,creditstitle_translators,3149,Translation,Traducción
NEW,engine_thrust,3149,THRUST *X%,DESCARGA *X%
UPDATED,hud_converttracktosplitter,3149,[CTRL + RMB] Convert to splitter,[CTRL + RMB] Convertir en Divisor
PREVIOUS,hud_converttracktosplitter,3054,[RMB] Convert to splitter,[RMB] Convertir en divisor
UPDATED,hud_convertsplittertotrack,3149,[CTRL + RMB] Convert to track,[CTRL + RMB] Convertir a pista
PREVIOUS,hud_convertsplittertotrack,3054,[RMB] Convert to track,[RMB] Convertir a Cinta Transportadora
UPDATED,tutorial_ftlintro,3149,We cannot deliver those passengers to their destination without Faster-Than-Light travel. Unfortunately this ship is not equipped with its own <b>FTL drive</b>.\n\nWe'll need to buy one and set it up.,"No podemos llevar a esos pasajeros a su destino sin un viaje más rápido que la luz. Por desgracia, esta nave no está equipada con su propio <b>Motor FTL</b>.\n\nTendremos que comprar uno y prepararlo."
PREVIOUS,tutorial_ftlintro,2886,We cannot deliver those passengers to their destination without Faster-Than-Light travel. Unfortunately this ship is not equipped with its own <b>FTL</b> drive.\n\nWe'll need to buy one and set it up.,"No podemos llevar a esos pasajeros a su destino sin un viaje Más Rápido Que la Luz. Desafortunadamente, esta nave no está equipada con su propio motor <b>FTL</b>.\n\nNecesitaremos comprar uno e instalarlo."
PREVIOUS,tutorial_ftlintro,2448,We cannot deliver those passengers to their destination without Faster-Than-Light travel. Unfortunately this ship is not equipped with its own FTL drive.\n\nWe'll need to buy one and set it up.,"No podemos llevar a esos pasajeros a su destino sin un viaje Más Rápido Que la Luz. Desafortunadamente, esta nave no está equipada con su propio motor FTL.\n\nNecesitaremos comprar uno e instalarlo."
UPDATED,tutorial_ftltradescreen,3149,Open the trade screen to purchase an <b>FTL drive</b> and some <b>FTL charges</b>.,Abre la pantalla de comercio para comprar un <b>Motor FTL</b> y algunas <b>cargas FTL</b>.
PREVIOUS,tutorial_ftltradescreen,2886,Open the trade screen to purchase an <b>FTL</b> drive.,Abre la pantalla de comercio para comprar un motor <b>FTL</b>.
PREVIOUS,tutorial_ftltradescreen,2448,Open the trade screen to purchase an FTL drive.,Abre la pantalla de comercio para comprar un motor FTL.
UPDATED,newmainmenu_includedocked,3149,INCLUDE DOCKED SHIPS,INCLUYEN BARCOS ATRACADOS
PREVIOUS,newmainmenu_includedocked,2448,INCLUDE DOCKED SHIPS IN EXPORT,INCLUIR NAVES ATRACADAS EN LA EXPORTACIÓN
UPDATED,hud_layer_hostile,3149,HOSTILE *X,HOSTIL *X
PREVIOUS,hud_layer_hostile,2448,HOSTILE,HOSTIL
UPDATED,hud_layer_derelict,3149,DERELICT *X,DERELICT *X
PREVIOUS,hud_layer_derelict,2448,DERELICT,DERELICTO
UPDATED,hud_layer_forsale,3149,[FOR SALE] *X,[EN VENTA] *X
PREVIOUS,hud_layer_forsale,2448,[FOR SALE],[EN VENTA]
CURRENT,bravenewsector_part2_harken_2,3077,Their exterior wear leads us to believe that they have been here for at least a century. This sector must have been one of mankind's first attempts to colonise outer-space.,Su desgaste exterior nos hace pensar que llevan aquí al menos un siglo. Este sector debió de ser uno de los primeros intentos de la humanidad por colonizar el espacio exterior.
CURRENT,techtree_node_caption_metallurgyrepeatable,3054,Spend research credits to continually increase our smelting efficiency.,Gasta créditos de investigación para aumentar continuamente la eficacia de nuestra fundición.
CURRENT,mainmenu_gamemode_arena,3054,Arena,Arena
CURRENT,mainmenu_gamemode_arena_tooltip,3054,Create epic space battles between fleets of ships and watch the carnage unfold.,Crea épicas batallas espaciales entre flotas de naves y observa cómo se desarrolla la carnicería.
CURRENT,mainmenu_arena_caption,3054,Create epic space battles between fleets of ships and watch the carnage unfold.,Crea épicas batallas espaciales entre flotas de naves y observa cómo se desarrolla la carnicería.
CURRENT,settings_autosaves,3054,AUTOSAVES,AUTOSAVES
CURRENT,settings_autosaveonftl,3054,Auto-save when leaving FTL,Autoguardado al salir de FTL
CURRENT,settings_autosaveontimeinterval,3054,Auto-save on time interval,Autoguardar en intervalo de tiempo
CURRENT,settings_autosaveinterval,3054,Auto-save Interval,Intervalo de autoguardado
CURRENT,settings_minutes_shortened,3054,Mins.,Mins.
CURRENT,newmainmenu_returntomainmenu,3054,RETURN TO MAIN MENU,VOLVER AL MENÚ PRINCIPAL
CURRENT,newmainmenu_mainmenu,3054,MAIN MENU,MENÚ PRINCIPAL
CURRENT,newmainmenu_showautosaves,3054,AUTOSAVES,AUTOSAVES
CURRENT,newmainmenu_newgameoptions,3054,Game Options,Opciones de juego
CURRENT,newmainmenu_defensiveenemies,3054,Defensive Enemies,Enemigos defensivos
CURRENT,newmainmenu_defensiveenemiestooltip,3054,Hostile ships will only target you once you have targeted them first.,Las naves hostiles sólo te atacarán cuando tú las hayas atacado primero.
CURRENT,newmainmenu_multisectorsim,3054,Multi-System Simulation,Simulación Multisistema
CURRENT,newmainmenu_multisectorsimtooltip,3054,"Enables multi-system simulation, allowing you to split up your fleet among multiple systems/sectors simultaneously.","Permite la simulación multisistema, lo que te permite dividir tu flota entre varios sistemas/sectores simultáneamente."
CURRENT,hud_shipmaximumoccupancy,3054,Ship Maximum Occupancy: *X/*Y,Ocupación máxima del barco: *X/*Y
CURRENT,hud_surveyinprogress,3054,WARNING - SURVEY WILL BE CANCELLED,AVISO - SE CANCELARÁ LA ENCUESTA
CURRENT,shipeditor_tooltip_painthull,3054,Toggle painting the exterior panels of the hull of your ship,Alternar la pintura de los paneles exteriores del casco de tu nave
CURRENT,shipeditor_tooltip_painthabitation,3054,Toggle painting the exterior panels of the habitation quarters of your ship,Alternar la pintura de los paneles exteriores de los habitáculos de tu nave
CURRENT,shipeditor_tooltip_paintscaffold,3054,Toggle painting the scaffolding on your ship,Alternar la pintura de los andamios de tu nave
CURRENT,shipeditor_tooltip_paintfloor,3054,Toggle painting the floor tiles of your ship,Alternar la pintura de las baldosas del suelo de tu nave
CURRENT,shipeditor_tooltip_paintwalls,3054,Toggle painting the base colour of the walls of your ship,Alternar la pintura del color base de las paredes de tu nave
CURRENT,shipeditor_mode_paintstencils,3054,Repaint Walls,Repintar paredes
CURRENT,shipeditor_tooltip_paintstencils,3054,Change the colour of decals applied to the walls of your ship,Cambia el color de las calcomanías aplicadas a las paredes de tu nave
CURRENT,shipeditor_mode_stencils,3054,Walls,Paredes
CURRENT,shipeditor_tooltip_stencils,3054,Apply or remove decals on the walls of your ship,Aplica o quita calcomanías en las paredes de tu nave
CURRENT,shipeditor_stencil,3054,DECALS,CALCULAS
CURRENT,shipeditor_stencils_paint,3054,Paints,Pinturas
CURRENT,shipeditor_stencils_stencil,3054,Decals,Calcomanías
CURRENT,shipeditor_stencils_selectedpaint,3054,Selected Paint,Pintura seleccionada
CURRENT,galaxymap_survivalexit,3054,Reach the STARGATE!,¡Alcanza el STARGATE!
CURRENT,galaxymap_sectornumber,3054,SECTOR *X,SECTOR *X
CURRENT,galaxymap_sectorgone,3054,LOST TO THE ANOMALY,PERDIDO POR LA ANOMALÍA
CURRENT,galaxymap_switchsector,3054,Switch Sector View,Vista del sector del interruptor
CURRENT,survey_type_derelict,3054,Derelict,Derelict
