state,key,svn,english,translation
NEW,settings_credits,3149,CREDITS,KREDİLER
NEW,newmainmenu_savetosteamcloud_tooltip,3149,The game will be saved to Steam Cloud when enabled. A warning will show if the save fails.,Etkinleştirildiğinde oyun Steam Cloud'a kaydedilecektir. Kaydetme başarısız olursa bir uyarı gösterilecektir.
NEW,newmainmenu_saveoptions,3149,Save Options,Seçenekleri Kaydet
NEW,hud_tooltip_switchflooring,3149,[{RotateObject}] Switch flooring style,[{RotateObject}] Döşeme stilini değiştir
NEW,hud_tooltip_currentflooring,3149,Current style: *X,Şu anki tarzım: *X
NEW,hud_tooltip_gratedflooring,3149,Grated,Rendelenmiş
NEW,hud_tooltip_normalflooring,3149,Normal,Normal
NEW,hud_hull_integrity,3149,HULL,HULL
NEW,hud_power_battery,3149,BATTERY,AKÜ
NEW,hud_power_powershortage,3149,POWER SHORTAGE,GÜÇ EKSİKLİĞİ
NEW,hud_idlecrew,3149,Idle Crew,Boşta Mürettebat
NEW,hud_consumingperhour,3149,Consuming *X per hour,Saatte *X tüketmek
NEW,hud_dehydrationperperson,3149,Dehydration *X per person,Dehidrasyon *X kişi başı
NEW,hud_hungerperperson,3149,Hunger *X per person,Açlık *X kişi başı
NEW,hud_byauthor,3149,BY *X,BY *X
NEW,communicator_newobjective,3149,NEW OBJECTIVE,YENİ HEDEF
NEW,galaxymap_stargate,3149,STARGATE,STARGATE
NEW,trade_canceltrade,3149,CANCEL TRADE AND REFUND,IŞLEM IPTALI VE PARA IADESI
NEW,trade_refundvalue,3149,REFUND VALUE,İADE DEĞERİ
NEW,trade_cancellationcost,3149,CANCELLATION COST,IPTAL MALIYETI
NEW,trade_partiallyfilled,3149,PARTIALLY FILLED,KISMEN DOLU
NEW,trade_incompletecomponent,3149,INCOMPLETE COMPONENT,TAMAMLANMAMIŞ BILEŞEN
NEW,trade_removeincomplete,3149,REMOVE INCOMPLETE,TAMAMLANMAMIŞLARI KALDIRIN
NEW,trade_removepartiallyfilled,3149,REMOVE PARTIALLY FILLED,KISMEN DOLU OLANLARI ÇIKARIN
NEW,trade_order_normal,3149,(*X),(*X)
NEW,trade_order_buy_on_sell_screen,3149,(BUY *X),(AL *X)
NEW,trade_order_sell_on_buy_screen,3149,(SELL *X),(SAT *X)
NEW,trade_order_sack_on_buy_screen,3149,(SACK *X),(ÇUVAL *X)
NEW,techtree_researchpercent,3149,*X% Complete,*Xtamamlandı
NEW,tooltip_efficiency,3149,Efficiency +*X%,Verimlilik +*X%
NEW,tooltip_activating,3149,Activating +*X%,Etkinleştirme +*X%
NEW,alert_type_lowdeuterium,3149,LOW DEUTERIUM,DÜŞÜK Döteryum
NEW,stargate_unknowncomponent,3149,Unknown Component,Bilinmeyen Bileşen
NEW,stargate_unknowncomponent_description,3149,Unlock this component through research!,Araştırma yaparak bu bileşenin kilidini açın!
NEW,creditstitle_builders,3149,Ship Builders,Gemi İnşaatçıları
NEW,creditstitle_testers,3149,Early Play Testing,Erken Oyun Testi
NEW,creditstitle_translators,3149,Translation,Çeviri
NEW,engine_thrust,3149,THRUST *X%,BASINÇ *X%
UPDATED,hud_converttracktosplitter,3149,[CTRL + RMB] Convert to splitter,[CTRL + RMB] Ayırıcıya dönüştür
PREVIOUS,hud_converttracktosplitter,3054,[RMB] Convert to splitter,[RMB] Ayırıcıya dönüştür
UPDATED,hud_convertsplittertotrack,3149,[CTRL + RMB] Convert to track,[CTRL + RMB] Parça'ya dönüştür
PREVIOUS,hud_convertsplittertotrack,3054,[RMB] Convert to track,[RMB] Dönüştürmek için parça
UPDATED,tutorial_ftlintro,3149,We cannot deliver those passengers to their destination without Faster-Than-Light travel. Unfortunately this ship is not equipped with its own <b>FTL drive</b>.\n\nWe'll need to buy one and set it up.,Işık Hızından Daha Hızlı yolculuk olmadan bu yolcuları varış yerlerine ulaştıramayız. Ne yazık ki bu gemi kendi <b>FTL sürücüsüne</b> sahip değil <b>.</b>\n\nBir tane satın alıp kurmamız gerekecek.
PREVIOUS,tutorial_ftlintro,2886,We cannot deliver those passengers to their destination without Faster-Than-Light travel. Unfortunately this ship is not equipped with its own <b>FTL</b> drive.\n\nWe'll need to buy one and set it up.,Işık Hızından Daha Hızlı yolculuk olmadan bu yolcuları varış yerlerine ulaştıramayız. Ne yazık ki bu gemi kendi <b>FTL</b> sürücüsüne sahip değil.\n\nBir tane satın alıp kurmamız gerekecek.
PREVIOUS,tutorial_ftlintro,2803,We cannot deliver those passengers to their destination without Faster-Than-Light travel. Unfortunately this ship is not equipped with its own FTL drive.\n\nWe'll need to buy one and set it up.,Işık Hızından Daha Hızlı yolculuk olmadan bu yolcuları varış yerlerine ulaştıramayız. Ne yazık ki bu gemi kendi FTL sürücüsüne sahip değil.\n\nBir tane satın alıp kurmamız gerekecek.
UPDATED,tutorial_ftltradescreen,3149,Open the trade screen to purchase an <b>FTL drive</b> and some <b>FTL charges</b>.,Bir <b>FTL sürücüsü ve</b> bazı <b>FTL Şarjı</b> satın almak için ticaret ekranını açın <b>.</b>
PREVIOUS,tutorial_ftltradescreen,2886,Open the trade screen to purchase an <b>FTL</b> drive.,Bir <b>FTL</b> Sürücüsü satın almak için takas ekranını açın.
PREVIOUS,tutorial_ftltradescreen,2803,Open the trade screen to purchase an FTL drive.,Bir FTL Sürücüsü satın almak için takas ekranını açın.
UPDATED,newmainmenu_includedocked,3149,INCLUDE DOCKED SHIPS,YANAŞMIŞ GEMILERI IÇERIR
PREVIOUS,newmainmenu_includedocked,2803,INCLUDE DOCKED SHIPS IN EXPORT,YANAŞMIŞ GEMILERI IHRACATA DAHIL ETMEK
UPDATED,hud_layer_hostile,3149,HOSTILE *X,HOSTİL *X
PREVIOUS,hud_layer_hostile,2803,HOSTILE,HOSTİL
UPDATED,hud_layer_derelict,3149,DERELICT *X,DERELICT *X
PREVIOUS,hud_layer_derelict,2803,DERELICT,DERELICT
UPDATED,hud_layer_forsale,3149,[FOR SALE] *X,[SATILIK] *X
PREVIOUS,hud_layer_forsale,2803,[FOR SALE],[SATILIK]
CURRENT,bravenewsector_part2_harken_2,3077,Their exterior wear leads us to believe that they have been here for at least a century. This sector must have been one of mankind's first attempts to colonise outer-space.,Dış görünüşlerindeki aşınma bizi en az bir asırdır burada olduklarına inandırıyor. Bu sektör insanoğlunun dış uzayı kolonileştirmek için yaptığı ilk girişimlerden biri olmalı.
CURRENT,techtree_node_caption_metallurgyrepeatable,3054,Spend research credits to continually increase our smelting efficiency.,Eritme verimliliğimizi sürekli artırmak için Araştırma Kredisi harcayın.
CURRENT,mainmenu_gamemode_arena,3054,Arena,Arena
CURRENT,mainmenu_gamemode_arena_tooltip,3054,Create epic space battles between fleets of ships and watch the carnage unfold.,Gemi filoları arasında destansı uzay savaşları yaratın ve katliamın ortaya çıkışını izleyin.
CURRENT,mainmenu_arena_caption,3054,Create epic space battles between fleets of ships and watch the carnage unfold.,Gemi filoları arasında destansı uzay savaşları yaratın ve katliamın ortaya çıkışını izleyin.
CURRENT,settings_autosaves,3054,AUTOSAVES,OTOSAVARLAR
CURRENT,settings_autosaveonftl,3054,Auto-save when leaving FTL,FTL'den çıkarken otomatik kaydetme
CURRENT,settings_autosaveontimeinterval,3054,Auto-save on time interval,Zaman aralığında otomatik kaydetme
CURRENT,settings_autosaveinterval,3054,Auto-save Interval,Otomatik Kaydetme Aralığı
CURRENT,settings_minutes_shortened,3054,Mins.,Dakikalar.
CURRENT,newmainmenu_returntomainmenu,3054,RETURN TO MAIN MENU,ANA MENÜYE DÖN
CURRENT,newmainmenu_mainmenu,3054,MAIN MENU,ANA MENÜ
CURRENT,newmainmenu_showautosaves,3054,AUTOSAVES,OTOSAVARLAR
CURRENT,newmainmenu_newgameoptions,3054,Game Options,Oyun Seçenekleri
CURRENT,newmainmenu_defensiveenemies,3054,Defensive Enemies,Savunma Düşmanları
