state,key,svn,english,translation
UPDATED,tutorial_stargatewindowhighlightcomponent,3257,Each component you need to manufacture is on the right.\nPlacing your mouse over a component's icon shows how to produce it.,"Elk onderdeel dat je moet maken staat aan de rechterkant.\nAls je met de muis op het pictogram van een onderdeel gaat staan, zie je hoe je het moet maken."
PREVIOUS,tutorial_stargatewindowhighlightcomponent,2593,Each component you need to manufacture is on the left.\nPlacing your mouse over a component's icon shows how to produce it.,"Elk onderdeel dat je moet maken staat aan de linkerkant.\nAls je met de muis op het pictogram van een onderdeel gaat staan, zie je hoe je het moet maken."
CURRENT,logistics_tooltip_skiporder,3248,Skip currently executing order,Huidige order overslaan
CURRENT,logistics_tooltip_loop,3248,Loop execution,Lusuitvoering
CURRENT,thefinalstand_artemis1,3248,Hello again Captain!,Nogmaals hallo kapitein!
CURRENT,thefinalstand_artemis2,3248,"After some careful analysis of the Stargate's blueprints, I have found the backdoor that the late Alexander James Elistar has left you.",Na zorgvuldige analyse van de blauwdrukken van de Sterrenpoort heb ik de achterdeur gevonden die wijlen Alexander James Elistar jullie heeft nagelaten.
CURRENT,thefinalstand_artemis3,3248,You will use this backdoor to upload a small virus that I have written to their command centre within the HQ. It will disable the station's offensive capabilities and place itself under your command.,Je gebruikt deze achterdeur om een klein virus dat ik heb geschreven te uploaden naar hun commandocentrum in het hoofdkwartier. Het zal de offensieve capaciteiten van het station uitschakelen en zichzelf onder jouw commando plaatsen.
CURRENT,thefinalstand_boss_artemis1,3248,"Captain, I can route a signal to their powergrid and overload their generators, tell me when to trigger it!","Kapitein, ik kan een signaal naar hun elektriciteitsnet sturen en hun generatoren overbelasten, vertel me wanneer ik het signaal moet afgeven!"
CURRENT,thefinalstand_end_objective_leave,3248,Leave the HQ,Verlaat het hoofdkwartier
CURRENT,thefinalstand_harken2,3248,"The Andromeda Project has moved their HQ and all key personell into an unknown location in the new sector, where we believe they are controlling the Stargate.","Het Andromeda Project heeft zijn hoofdkwartier en al het belangrijke personeel verplaatst naar een onbekende locatie in de nieuwe sector, waar we denken dat ze de Sterrenpoort controleren."
CURRENT,thefinalstand_harken3,3248,"My plan is to use our fleets to take control of the HQ by force. Any and all damage to the HQ should be avoided, many innocent lives are on-board and the loss of life from destroying it would be far too great.\nI have devised a plan with an old friend of yours that should minimise casualties...","Mijn plan is om onze vloten te gebruiken om het hoofdkwartier met geweld over te nemen. Alle schade aan het hoofdkwartier moet worden vermeden, er zijn veel onschuldige levens aan boord en het verlies aan levens door het te vernietigen zou veel te groot zijn.\nIk heb samen met een oude vriend van je een plan bedacht dat het aantal slachtoffers zou moeten minimaliseren..."
