state,key,svn,english,translation
NEW,logistics_log_skipped,3339,Skipped order,Ordre omis
CURRENT,hud_ftlshipcontrolledbylogistics,3331,Ship is controlled by interstellar logistics,Le navire est contrôlé par la logistique interstellaire
CURRENT,newmainmenu_invalidsavename,3329,Invalid Save Name,Nom d'enregistrement invalide
CURRENT,newmainmenu_invalidcharacters_caption,3329,Save name contains invalid characters.,Le nom de l'enregistrement contient des caractères non valides.
CURRENT,newmainmenu_autosavenameinvalid_caption,3329,Save name reserved for autosaves.,Nom de sauvegarde réservé aux sauvegardes automatiques.
CURRENT,galaxymap_darkmode,3329,Dark Mode,Mode sombre
CURRENT,galaxymap_lightmode,3329,Light Mode,Mode lumière
CURRENT,techtree_queue,3329,Queue Research,Recherche sur les files d'attente
CURRENT,logistics_showlog,3329,SHOW LOG,SHOW LOG
CURRENT,logistics_hidelog,3329,HIDE LOG,CACHER LE JOURNAL
CURRENT,logistics_order_goandwait,3329,Go and Wait,Va et attends
CURRENT,logistics_status_miningstacksnostorage,3329,"(*X/*Y stacks, storage full)","(*X/*Y piles, stockage complet)"
CURRENT,logistics_status_miningstacksnostorage1,3329,"(*X stacks, storage full)","(*X stacks, storage full)"
CURRENT,logistics_status_collectcontainersnostorage,3329,"(*X/*Y containers, storage full)","(*X/*Y conteneurs, stockage plein)"
CURRENT,logistics_status_collectcontainersnostorage1,3329,"(*X containers, storage full)","(*X conteneurs, stockage plein)"
CURRENT,logistics_status_transfernosupply,3329,out of the *X ordered (not enough available),sur le site *X commandé (pas assez disponible)
CURRENT,logistics_status_buynomoney,3329,out of the *X ordered (not enough money),hors du site *X commandé (pas assez d'argent)
CURRENT,logistics_status_buynosupply,3329,out of the *X ordered (not enough available),sur le site *X commandé (pas assez disponible)
CURRENT,logistics_status_sellnosupply,3329,out of the *X ordered (not enough available),sur le site *X commandé (pas assez disponible)
CURRENT,logistics_status_waiting,3329,Waiting T*X,Attente T*X
CURRENT,logistics_status_time,3329,in T*X,en T*X
CURRENT,logistics_status_warning,3329,Warning,Avertissement
CURRENT,logistics_status_alert,3329,Alert,Alerte
CURRENT,logistics_log_jumped,3329,Travelled to system S*X,Voyage vers le système S*X
CURRENT,logistics_log_jumpedstargate,3329,Travelled to system S*X through Stargate,Voyage vers le système S*X par la porte des étoiles
CURRENT,logistics_log_transferto,3329,Transferred *X R*Y to L*Z,Transféré *X R*Y à L*Z
CURRENT,logistics_log_transferfrom,3329,Transferred *X R*Y from L*Z,Transféré *X R*Y de L*Z
CURRENT,logistics_log_transferstoragefull,3329,(destination storage full),(stockage de destination plein)
CURRENT,logistics_log_transferstoragefull1,3329,out of the *X ordered (destination storage full),hors du site *X commandé (stockage de destination plein)
CURRENT,logistics_log_waited,3329,Waited for T*X,Attendu le T*X
CURRENT,rating_trade,3329,Trade,Commerce
CURRENT,dsi_action_confirmcancel,3329,Confirm cancellation,Confirmer l'annulation
CURRENT,dsi_x_confirmcancel1,3329,How dare you! I still have the access keys. You will no longer be a part of this enterprise.,Comment oses-tu ? J'ai toujours les clés d'accès. Tu ne feras plus partie de cette entreprise.
CURRENT,dsi_x_confirmcancel2,3329,You will regret this.,Tu le regretteras.
CURRENT,dsi_x_confirmcancel3,3329,"Goodbye, Captain.","Au revoir, capitaine."
CURRENT,thefinalstand_boss_hint,3329,"Captain! The ship's weapons and engines are disabled, hit it with everything you've got!","Capitaine ! Les armes et les moteurs du vaisseau sont désactivés, frappe-le avec tout ce que tu as !"
CURRENT,thefinalstand_harken5,3329,The Stargate will fall back into our control. I've marked an allied shipyard on your map. I'll hide out there in the mean-time.,La Porte des étoiles va retomber sous notre contrôle. J'ai marqué un chantier naval allié sur ta carte. Je m'y cacherai en attendant.
CURRENT,industryend_message,3329,"With Andromeda HQ captured, Cmdr Harken and the Intergalactic Security Council will dismantle the Andromeda Project conglomerate and regain control of the Stargate, for the benefit of all mankind.  A new chapter has begun, as mankind expands beyond our home galaxy and into the future.","Avec la capture du QG d'Andromède, le Cmdr Harken et le Conseil de sécurité intergalactique vont démanteler le conglomérat du Projet Andromède et reprendre le contrôle de la Porte des étoiles, pour le bien de toute l'humanité.  Un nouveau chapitre a commencé, alors que l'humanité s'étend au-delà de notre galaxie d'origine et vers l'avenir."
CURRENT,trade_autodisembarkat,3329,DISEMBARK ABOVE,DÉBARQUE AU-DESSUS
CURRENT,logistics_status_transferto,3329,Transferring *X R*Y to L*Z,Transférer *X R*Y vers L*Z
CURRENT,logistics_status_transferfrom,3329,Transferring *X R*Y from L*Z,Transfert *X R*Y de L*Z
CURRENT,thefinalstand_harken1_intro,3329,"Captain! In direct violation of intergalactic law, the Andromeda Project has permanently closed access to the Stargate outside of their own ships. Colonists are stranded in the new sector, unable to return home.","Capitaine ! En violation directe de la loi intergalactique, le projet Andromède a définitivement fermé l'accès à la Porte des étoiles en dehors de leurs propres vaisseaux. Les colons sont bloqués dans le nouveau secteur, incapables de rentrer chez eux."
CURRENT,thefinalstand_battleoutro_ship1,3329,DANGER: POWER SYSTEMS DETERIORATING. POWER GRID OVERLOADED.\nNO POWER TO WEAPONS AND ENGINES.,DANGER : LES SYSTÈMES D'ALIMENTATION SE DÉTÉRIORENT. RÉSEAU ÉLECTRIQUE SURCHARGÉ.\nPAS D'ALIMENTATION POUR LES ARMES ET LES MOTEURS.
CURRENT,thefinalstand_battleoutro_harken3,3329,"It's over, Captain. The Andromeda HQ will be placed under the jurisdiction of the Intergalactic Security Council while I make the necessary arrests. The access codes for the Stargate are back under our control.","C'est terminé, Capitaine. Le QG d'Andromède sera placé sous la juridiction du Conseil de sécurité intergalactique pendant que je procède aux arrestations nécessaires. Les codes d'accès à la Porte des étoiles sont de nouveau sous notre contrôle."
CURRENT,tutorial_ftladdftldrive,3329,Add one <b>FTL drive</b> to our order by clicking on the entry in the list.,Ajoute un <b>moteur FTL</b> à notre commande en cliquant sur l'entrée dans la liste.
CURRENT,tutorial_ftladdftlfuel,3329,<b>FTL drives</b> consume one fuel charge per jump.\n\nAdd 5 <b>FTL charges</b> to the order as well.,<b>Les moteurs FTL</b> consomment une charge de carburant par saut.\n\nAjoute également 5 <b>charges FTL</b> à la commande.
CURRENT,tutorial_ftlinstallftl,3329,Install the <b>FTL drive</b> anywhere in your ship.,Installe le <b>moteur FTL</b> n'importe où dans ton vaisseau.
CURRENT,tutorial_ftlpowerftl,3329,Connect the <b>FTL drive</b> to your power network.,Branche le <b>moteur FTL</b> sur ton réseau électrique.
