state,key,svn,english,translation
NEW,logistics_log_skipped,3339,Skipped order,Pominięte zamówienie
CURRENT,hud_ftlshipcontrolledbylogistics,3331,Ship is controlled by interstellar logistics,Statek jest kontrolowany przez logistykę międzygwiezdną
CURRENT,newmainmenu_invalidsavename,3329,Invalid Save Name,Nieprawidłowa nazwa zapisu
CURRENT,newmainmenu_invalidcharacters_caption,3329,Save name contains invalid characters.,Nazwa zapisu zawiera nieprawidłowe znaki.
CURRENT,newmainmenu_autosavenameinvalid_caption,3329,Save name reserved for autosaves.,Nazwa zapisu zarezerwowana dla automatycznych zapisów.
CURRENT,galaxymap_darkmode,3329,Dark Mode,Tryb ciemny
CURRENT,galaxymap_lightmode,3329,Light Mode,Tryb oświetlenia
CURRENT,techtree_queue,3329,Queue Research,Badania kolejki
CURRENT,logistics_showlog,3329,SHOW LOG,POKAŻ LOG
CURRENT,logistics_hidelog,3329,HIDE LOG,UKRYJ DZIENNIK
CURRENT,logistics_order_goandwait,3329,Go and Wait,Idź i czekaj
CURRENT,logistics_status_miningstacksnostorage,3329,"(*X/*Y stacks, storage full)","(*X/*Y stosy, magazyn pełny)"
CURRENT,logistics_status_miningstacksnostorage1,3329,"(*X stacks, storage full)","(*X stosy, magazyn pełny)"
CURRENT,logistics_status_collectcontainersnostorage,3329,"(*X/*Y containers, storage full)","(*X/*Y pojemniki, magazyn pełny)"
CURRENT,logistics_status_collectcontainersnostorage1,3329,"(*X containers, storage full)","(*X pojemniki, magazyn pełny)"
CURRENT,logistics_status_transfernosupply,3329,out of the *X ordered (not enough available),z zamówionego *X (niewystarczająca ilość)
CURRENT,logistics_status_buynomoney,3329,out of the *X ordered (not enough money),z zamówionego *X (za mało pieniędzy)
CURRENT,logistics_status_buynosupply,3329,out of the *X ordered (not enough available),z zamówionego *X (niewystarczająca ilość)
CURRENT,logistics_status_sellnosupply,3329,out of the *X ordered (not enough available),z zamówionego *X (niewystarczająca ilość)
CURRENT,logistics_status_waiting,3329,Waiting T*X,Oczekiwanie T*X
CURRENT,logistics_status_time,3329,in T*X,w T*X
CURRENT,logistics_status_warning,3329,Warning,Ostrzeżenie
CURRENT,logistics_status_alert,3329,Alert,Alarm
CURRENT,logistics_log_jumped,3329,Travelled to system S*X,Podróż do systemu S*X
CURRENT,logistics_log_jumpedstargate,3329,Travelled to system S*X through Stargate,Podróż do systemu S*X przez Gwiezdne Wrota
CURRENT,logistics_log_transferto,3329,Transferred *X R*Y to L*Z,Przeniesiono *X R*Y do L*Z
CURRENT,logistics_log_transferfrom,3329,Transferred *X R*Y from L*Z,Przeniesiono *X R*Y z L*Z
CURRENT,logistics_log_transferstoragefull,3329,(destination storage full),(pamięć docelowa pełna)
CURRENT,logistics_log_transferstoragefull1,3329,out of the *X ordered (destination storage full),poza zamówieniem *X (pamięć docelowa pełna)
CURRENT,logistics_log_waited,3329,Waited for T*X,Czekałeś na T*X
CURRENT,rating_trade,3329,Trade,Handel
CURRENT,dsi_action_confirmcancel,3329,Confirm cancellation,Potwierdź anulowanie
CURRENT,dsi_x_confirmcancel1,3329,How dare you! I still have the access keys. You will no longer be a part of this enterprise.,Jak śmiesz! Wciąż mam klucze dostępu. Nie będziesz już częścią tego przedsięwzięcia.
CURRENT,dsi_x_confirmcancel2,3329,You will regret this.,Będziesz tego żałować.
CURRENT,dsi_x_confirmcancel3,3329,"Goodbye, Captain.","Żegnaj, kapitanie."
CURRENT,thefinalstand_boss_hint,3329,"Captain! The ship's weapons and engines are disabled, hit it with everything you've got!","Kapitanie! Uzbrojenie i silniki statku są wyłączone, uderzajcie ze wszystkich sił!"
CURRENT,thefinalstand_harken5,3329,The Stargate will fall back into our control. I've marked an allied shipyard on your map. I'll hide out there in the mean-time.,Gwiezdne Wrota wrócą pod naszą kontrolę. Zaznaczyłem sojuszniczą stocznię na twojej mapie. Ukryję się tam w międzyczasie.
