state,key,svn,english,translation
NEW,settings_accentinsensitivesearch,2803,Accent Insensitive Search,
NEW,settings_accentinsensitivesearch_description,2803,"When searching in lists, ignore accented characters, e.g. ""é"" will match ""e""",
NEW,settings_translatorassist,2803,"Translator Assist (Ctrl, Alt)",
NEW,keybinding_alttool,2886,Alt Editor Tool,
NEW,keybinding_translatorwindow,2886,Translator Window,
NEW,newmainmenu_autosavewarning,2886,Auto-save load warning,
NEW,save_autosavewarning_header,2886,WARNING: Autosave loaded,
NEW,save_autosavewarning_body,2886,"This save is likely to be overwritten by the game as you continue playing, so you should create a manual save if you haven't already done so using the ""SAVE GAME"" option.\n\nThis warning can be disabled in the settings menu.",
NEW,hud_jumpgalaxies,2886,ESCAPE THE GALAXY,
NEW,hud_window_recipes,2886,RECIPES,
NEW,hud_toandromeda,2886,TO ANDROMEDA GALAXY,
NEW,hud_overlay_radiation,2886,Radiation,
NEW,hud_recipes_goback,2886,GO BACK,
NEW,hud_recipes_chooseequipment,2886,CHOOSE EQUIPMENT,
NEW,hud_recipes_chooseinput,2886,CHOOSE INPUT,
NEW,hud_maximumoccupancy,2886,Maximum Occupancy: *X/*Y,
NEW,hud_cabins,2886,Cabins: *X/*Y,
NEW,shipeditor_mode_equipment,2886,Equipment,
NEW,shipeditor_tooltip_equipment,2886,Queue the installation of equipment inside your ship.,
NEW,shipeditor_brush_oval,2886,OVAL TOOL,
NEW,shipeditor_equipment_title,2886,Missing Equipment,
NEW,shipeditor_equipment_autobuy,2886,Enable Auto Buy,
NEW,shipeditor_equipment_autobuyconfirm,2886,Confirm Auto Buy Changes,
NEW,shipeditor_equipment_manualbuy,2886,Buy All Available,
NEW,shipeditor_equipment_autobuyenable,2886,Auto Buy *X,
NEW,shipeditor_equipment_missing,2886,You require *X,
NEW,shipeditor_equipment_incoming,2886,You have *X incoming,
NEW,shipeditor_equipment_outgoing,2886,You have *X outgoing,
NEW,shipeditor_equipment_expected,2886,You will be missing *X when ongoing deliveries/logistics complete,
NEW,shipeditor_equipment_available,2886,Trading Post has *X available,
NEW,shipeditor_equipment_totalcost,2886,Total Cost,
NEW,shipeditor_equipment_immediatecost,2886,Immediate Cost: *X,
NEW,shipeditor_equipment_expectedcost,2886,Expected Future Cost: *X,
NEW,intergalactic_travel,2886,INTERGALACTIC TRAVEL,
NEW,techtree_node_title_mininglaseraccuracy2,2886,Mining Laser Precision 2,
NEW,techtree_node_caption_mininglaseraccuracy2,2886,Mining Lasers extract three times as many minerals per shot,
NEW,special_mininglaseraccuracy2,2886,Mining Laser Precision 2,
NEW,mission_type_fortress,2886,Destroy Hostile Fortress,
NEW,mission_fortress_title,2886,Destroy a hostile fortress,
NEW,mission_fortress_objective,2886,Travel to the fortress,
NEW,mission_fortress_accept,2886,"We have marked the location of the fortress on your map. Good luck, Captain.",
NEW,mission_fortress_description1,2886,Hostiles have set up a fortress within the sector. It appears to be where they are fabricating their ships.,
NEW,mission_fortress_description2,2886,The fortress is giving them significant power across the sector and must be dealt with.,
NEW,mission_fortress_description3,2886,"Travel to the fortress, destroy it, and eliminate any remaining hostiles",
NEW,mission_fortress_destroyfortress,2886,Destroy the fortress,
NEW,mission_fortress_destroyhostiles,2886,Eliminate any remaining hostiles,
NEW,mission_fortress_success,2886,The fortress assault was successful.,
NEW,object_radiationemitter,2886,Radiation Emitter,
NEW,object_radiationemitter_description,2886,Emits radiation. For testing new radiation mechanic (has no gameplay use).,
NEW,object_radiationblocker,2886,Radiation Blocker,
NEW,object_radiationblocker_description,2886,"Radiation blocker, significantly reduces all radiation passing through it. Place between your crew and equipment that emit radiation.",
NEW,entity_radiation,2886,IRRADIATED,
NEW,entity_death_radiation,2886,Radiation,
NEW,alert_type_radiation,2886,RADIATION POISONING,
NEW,alert_type_radiation_caption,2886,*X have radiation poisoning,
NEW,bravenewsector_title,2886,Brave New Sector,
NEW,bravenewsector_part1_title,2886,"Brave New Sector, Part 1",
NEW,bravenewsector_summary,2886,Explore the new sector,
NEW,bravenewsector_part1_findneubidium,2886,Sample the new minerals,
NEW,bravenewsector_part1_findzeleon,2886,Investigate the severe weather,
NEW,bravenewsector_part1_representative1,2886,Greetings Captain. What you've found could prove to be very useful to the Stargate project.,
NEW,bravenewsector_part1_representative2,2886,"Since you've used our Stargate to reach the new sector, we believe it's only fair that you assist us with researching the uses of the new resources.",
NEW,bravenewsector_part1_representative3,2886,"Your co-operation has been paramount in the project's sucess so far, and it must continue until the project is complete.",
NEW,bravenewsector_part1_representative4,2886,"Thank you, Captain. We will be in touch when you have completed your research.",
NEW,bravenewsector_part1_researchneubidium,2886,Research Neubidium Processing,
NEW,bravenewsector_part1_researchzeleon,2886,Research Zeleon Gas,
NEW,bravenewsector_part1_representative5,2886,"Hello again, Captain.",
NEW,bravenewsector_part1_representative6,2886,"The results of your research are very promising, and we'd like you to send us some refined samples of the new resources.",
NEW,bravenewsector_part1_representative7,2886,We expect a shipment of Neubidium ingots and the stabilised Zeleon gas.,
NEW,bravenewsector_part1_representative8,2886,"Thank you for your co-operation, Captain.",
NEW,bravenewsector_part1_dophase6,2886,Complete Phase 6 of the Stargate Project,
NEW,mainmenu_gamemode_arena,3054,Arena,
NEW,mainmenu_gamemode_arena_tooltip,3054,Create epic space battles between fleets of ships and watch the carnage unfold.,
NEW,mainmenu_arena_caption,3054,Create epic space battles between fleets of ships and watch the carnage unfold.,
NEW,settings_autosaves,3054,AUTOSAVES,
NEW,settings_autosaveonftl,3054,Auto-save when leaving FTL,
NEW,settings_autosaveontimeinterval,3054,Auto-save on time interval,
NEW,settings_autosaveinterval,3054,Auto-save Interval,
NEW,settings_minutes_shortened,3054,Mins.,
NEW,newmainmenu_returntomainmenu,3054,RETURN TO MAIN MENU,
NEW,newmainmenu_mainmenu,3054,MAIN MENU,
NEW,newmainmenu_showautosaves,3054,AUTOSAVES,
NEW,newmainmenu_newgameoptions,3054,Game Options,
NEW,newmainmenu_defensiveenemies,3054,Defensive Enemies,
NEW,newmainmenu_defensiveenemiestooltip,3054,Hostile ships will only target you once you have targeted them first.,
NEW,newmainmenu_multisectorsim,3054,Multi-System Simulation,
NEW,newmainmenu_multisectorsimtooltip,3054,"Enables multi-system simulation, allowing you to split up your fleet among multiple systems/sectors simultaneously.",
NEW,hud_shipmaximumoccupancy,3054,Ship Maximum Occupancy: *X/*Y,
NEW,hud_surveyinprogress,3054,WARNING - SURVEY WILL BE CANCELLED,
NEW,shipeditor_tooltip_painthull,3054,Toggle painting the exterior panels of the hull of your ship,
NEW,shipeditor_tooltip_painthabitation,3054,Toggle painting the exterior panels of the habitation quarters of your ship,
NEW,shipeditor_tooltip_paintscaffold,3054,Toggle painting the scaffolding on your ship,
NEW,shipeditor_tooltip_paintfloor,3054,Toggle painting the floor tiles of your ship,
NEW,shipeditor_tooltip_paintwalls,3054,Toggle painting the base colour of the walls of your ship,
NEW,shipeditor_mode_paintstencils,3054,Repaint Walls,
NEW,shipeditor_tooltip_paintstencils,3054,Change the colour of decals applied to the walls of your ship,
NEW,shipeditor_mode_stencils,3054,Walls,
NEW,shipeditor_tooltip_stencils,3054,Apply or remove decals on the walls of your ship,
NEW,shipeditor_stencil,3054,DECALS,
NEW,shipeditor_stencils_paint,3054,Paints,
NEW,shipeditor_stencils_stencil,3054,Decals,
NEW,shipeditor_stencils_selectedpaint,3054,Selected Paint,
NEW,galaxymap_survivalexit,3054,Reach the STARGATE!,
NEW,galaxymap_sectornumber,3054,SECTOR *X,
NEW,galaxymap_sectorgone,3054,LOST TO THE ANOMALY,
NEW,galaxymap_switchsector,3054,Switch Sector View,
NEW,survey_type_derelict,3054,Derelict,
NEW,survey_type_asteroid,3054,Asteroid belt,
NEW,survey_type_nebula,3054,Nebula,
NEW,survey_type_storm,3054,Storm,
NEW,survey_type_colony,3054,Colony,
NEW,survey_title,3054,UNSURVEYED *X,
NEW,survey_captionnone,3054,No survey in progress,
NEW,survey_captionsingle,3054,Surveyed by *X,
NEW,survey_local_noequipment,3054,NO SUPERCOMPUTERS INSTALLED,
NEW,survey_sector_title,3054,SECTOR SCAN,
NEW,survey_sector_nothingtoscan,3054,REGION FULLY SCANNED,
NEW,survey_completed,3054,SURVEY COMPLETED,
NEW,survey_local_award_caption,3054,*X *Y Unlocked,
NEW,survey_sector_award_title,3054,SURVEY AVAILABLE,
NEW,survey_sector_award_caption,3054,*X available to survey,
NEW,survey_sector_caption,3054,*X scanning region,
NEW,powergrid_controls_title,3054,Power Grid Controls,
NEW,powergrid_controls_increase,3054,[LMB] Increase,
NEW,powergrid_controls_decrease,3054,[RMB] Decrease,
NEW,powergrid_controls_shift,3054,[Shift] All,
NEW,trade_sack,3054,SACK,
NEW,techtree_cannot_afford,3054,CANNOT AFFORD RESEARCH,
NEW,techtree_creditsrequired,3054,CREDITS REQUIRED: *X/*Y,
NEW,techtree_availablecredits,3054,Available Credits: *X,
NEW,techtree_spendcredits,3054,Accelerate Research (Cost: 1 Credit ),
NEW,techtree_researchcredit_tooltip,3054,Perform sector scans to find derelict ships that contain research credits.,
NEW,researchcredit_hint,3054,Load into a Science Station for analysis,
NEW,techtree_node_title_tiddletcrystals,3054,Synthetic Crystals,
NEW,techtree_node_title_quantumprocessing,3054,Quantum Processing,
NEW,techtree_node_caption_quantumprocessing,3054,Simulations predict that the new charged crystals allow the Stargate to jump ships to different galaxies. The Stargate's computer systems need to be upgraded to handle this.,
NEW,techtree_node_title_sectorsurvey,3054,Sector Surveying,
NEW,techtree_node_caption_sectorsurvey,3054,Unlock surveying the current sector for new systems nearby.,
NEW,techtree_node_title_advancedtracks,3054,Advanced Tracks,
NEW,techtree_node_caption_advancedtracks,3054,"Unlocks the ability to convert tracks into splitters, and vice versa. Splitters will evenly distribute items between their output directions.",
NEW,techtree_node_title_reactorefficiencyrepeatable,3054,Reactor Efficiency,
NEW,techtree_node_caption_reactorefficiencyrepeatable,3054,Spend research credits to continually improve the efficiency of our reactors.,
NEW,techtree_node_title_dronespeedrepeatable,3054,Drone Speed,
NEW,techtree_node_caption_dronespeedrepeatable,3054,Spend research credits to continually increase the speed of our drones.,
NEW,techtree_node_title_hydroponicsrepeatable,3054,Hydroponics,
NEW,techtree_node_caption_hydroponicsrepeatable,3054,Spend research credits to continually increase our crop yield.,
NEW,techtree_node_title_metallurgyrepeatable,3054,Metallurgy,
NEW,techtree_node_caption_metallurgyrepeatable,3054,Spend research credits to continually increase our smelting efficiency.,
NEW,techtree_node_title_robotarmspeedrepeatable,3054,Robot Arm Speed,
NEW,techtree_node_caption_robotarmspeedrepeatable,3054,Spend research credits to continually increase our robot arm speed.,
NEW,special_sectorsurvey,3054,Sector Surveying,
NEW,special_tracksplitter,3054,Splitter Tracks,
NEW,object_tracksplitter,3054,Splitter,
NEW,object_laserinfuser,3054,Laser Infuser,
