state,key,svn,english,translation
NEW,settings_motionsicknessmode,3400,Motion Sickness Mode,Bevegelsessykemodus
NEW,settings_motionsicknessmode_description,3400,"Background rotation is removed, which should help if you experience motion sickness in-game.","Bakgrunnsrotasjon er fjernet, noe som bør hjelpe hvis du opplever bevegelsessyke i spillet."
NEW,settings_instantshipswitch_description,3400,"When switching between ships, skip the transition","Når du bytter mellom skip, hopper du over overgangen"
NEW,newmainmenu_tests,3400,TESTS,PRØVER
NEW,newmainmenu_instantshipswitch,3400,Switch instantly between ships,Bytt øyeblikkelig mellom skip
NEW,newmainmenu_vsync,3400,V-Sync,V-Sync
NEW,hud_layer_neutralexpand,3400,*X NEUTRAL SHIPS,*X NEUTRALE SKIP
NEW,hud_layer_neutralexpandtooltip,3400,Show neutral ships,Vis nøytrale skip
NEW,power_unit,3400,*X MW,*X MW
NEW,tactical_focuslayer,3400,FOCUS LAYER,FOKUSLAG
NEW,tactical_tooltip_focuslayer,3400,"When enabled, the camera's rotation and position track the currently selected layer.","Når denne funksjonen er aktivert, sporer kameraets rotasjon og posisjon det valgte laget."
NEW,logistics_condition_untilstorage,3400,Quantity on board,Mengde om bord
NEW,logistics_quantity_all,3400,ALL,ALLE
NEW,logistics_quantity_full,3400,FULL,FULL
NEW,logistics_extras_anycargo,3400,USE ANY CARGO STORAGE,BRUKE ALL LAGRING AV LAST
NEW,logistics_stuck_layernotours,3400,Ship L*X is not friendly,Skipet L*X er ikke vennlig
NEW,logistics_tooltip_controlall,3400,[CTRL] ALL,[CTRL] ALL
NEW,logistics_tooltip_controlfull,3400,[CTRL] FULL,[CTRL] FULL
NEW,logistics_tooltip_noitemrequired,3400,This order does not require an item,Denne bestillingen krever ikke en vare
NEW,logistics_tooltip_extrastoggleshow,3400,Show extra options for this order,Vis ekstra alternativer for denne bestillingen
NEW,logistics_tooltip_extrastogglehide,3400,Hide extra options for this order,Skjul ekstra alternativer for denne bestillingen
NEW,logistics_tooltip_extrastogglenone,3400,No extra options available,Ingen ekstra alternativer tilgjengelig
NEW,alert_type_failedtofindsuit,3400,SPACESUITS REQUIRED,ROMDRAKTER KREVES
NEW,alert_type_failedtofindsuit_caption,3400,*X crew members need spacesuits.,*X mannskapet trenger romdrakter.
NEW,objective_travel_to_location,3400,Travel to S*X,Reis til S*X
UPDATED,logistics_status_transfernosupply,3400,out of the *X desired (not enough available),ut av *X ønsket (ikke nok tilgjengelig)
PREVIOUS,logistics_status_transfernosupply,3329,out of the *X ordered (not enough available),av *X bestilt (ikke nok tilgjengelig)
UPDATED,logistics_status_buynomoney,3400,out of the *X desired (not enough money),ut av *X ønsket (ikke nok penger)
PREVIOUS,logistics_status_buynomoney,3329,out of the *X ordered (not enough money),ut av *X bestilt (ikke nok penger)
UPDATED,logistics_status_buynosupply,3400,out of the *X desired (not enough available),ut av *X ønsket (ikke nok tilgjengelig)
PREVIOUS,logistics_status_buynosupply,3329,out of the *X ordered (not enough available),av *X bestilt (ikke nok tilgjengelig)
UPDATED,logistics_status_sellnosupply,3400,out of the *X desired (not enough available),ut av *X ønsket (ikke nok tilgjengelig)
PREVIOUS,logistics_status_sellnosupply,3329,out of the *X ordered (not enough available),av *X bestilt (ikke nok tilgjengelig)
UPDATED,logistics_log_transferstoragefull1,3400,out of the *X desired (destination storage full),ut av *X ønsket (destinasjonslageret fullt)
PREVIOUS,logistics_log_transferstoragefull1,3329,out of the *X ordered (destination storage full),ut av *X bestilt (destinasjonslageret fullt)
UPDATED,logistics_item_none,3400,SELECT ITEM,VELG ELEMENT
PREVIOUS,logistics_item_none,3239,Select Item,Velg element
UPDATED,wolf_part1_objective_drones,3400,Install a Drone Bay and have at least one Logistics Drone,Installer en Drone Bay og ha minst én Drone for logistikk
PREVIOUS,wolf_part1_objective_drones,2803,Install a Drone Bay and at least one Logistics Drone,Installer en Drone Bay og minst én Drone for logistikk
UPDATED,tutorial_stargatewindowhighlightframes2,3400,The button underneath each component can be clicked to quickly sell all your stock and submit it to the Andromeda Project.\n\nThey can also be sold from the trade screen.,Du kan klikke på knappen under hver komponent for å selge hele lageret ditt og sende det til Andromeda-prosjektet.\n\nDe kan også selges fra handelsskjermen.
PREVIOUS,tutorial_stargatewindowhighlightframes2,2803,Sell your frames at a trading post to submit them to the Andromeda Project.,Selg rammene dine på en handelsstasjon for å sende dem til Andromeda-prosjektet.
UPDATED,powergrid_demand,3400,DEMAND: *X MW,ETTERSPØRSEL: *X MW
PREVIOUS,powergrid_demand,2803,DEMAND *X Mw,DEMAND *X Mw
UPDATED,powergrid_output,3400,OUTPUT: *X MW,OUTPUT: *X MW
PREVIOUS,powergrid_output,2803,OUTPUT *X Mw,OUTPUT *X Mw
UPDATED,powergrid_stored,3400,STORED: *X MJ,LAGRET: *X MJ
PREVIOUS,powergrid_stored,2803,STORED *X Mw,LAGRET *X Mw
UPDATED,object_battery_description,3400,"Stores any excess power available in the powergrid, up to 1000MJ. The battery will supply power whenever there is a shortage.","Lagrer all overskuddskraft som er tilgjengelig i strømnettet, opptil 1000 MJ. Batteriet vil levere strøm når det er mangel på strøm."
PREVIOUS,object_battery_description,2803,"Stores any excess power available in the powergrid, up to 1000Mw. The battery will supply power whenever there is a shortage.","Lagrer all overskuddskraft som er tilgjengelig i strømnettet, opptil 1000 MW. Batteriet vil levere strøm når det er underskudd."
UPDATED,object_reactor_description,3400,Burns high-energy Fuel to produce power. Must be supplied with Fuel (via a pipe). Then use cables to connect to other powered equipment.\n\nGenerates a maximum power output of 100MW.,Forbrenner høyenergisk Drivstoff for å produsere strøm. Må forsynes med Drivstoff (via et rør). Bruk deretter kabler for å koble til annet strømførende utstyr.\n\nGenererer en maksimal effekt på 100MW.
PREVIOUS,object_reactor_description,2803,Burns high-energy Fuel to produce power. Must be supplied with Fuel (via a pipe). Then use cables to connect to other powered equipment.\nGenerates a maximum power output of 100MW.,Forbrenner høyenergisk drivstoff for å produsere strøm. Må forsynes med drivstoff (via et rør). Bruk deretter kabler for å koble til annet strømforsynt utstyr.\nGenererer en maksimal effekt på 100 MW.
UPDATED,dsi_part2_thirdpartcomplete2,3400,"I'm going to take a short break from the project, I trust you'll be able to do the next couple of stages on your own.","Jeg tar en kort pause fra prosjektet, jeg regner med at dere klarer de neste par etappene på egen hånd."
PREVIOUS,dsi_part2_thirdpartcomplete2,2803,Let's take another break and I'll contact you when the Andromeda Project releases the manifest for their next phase.,"La oss ta en pause til, så kontakter jeg deg når Andromeda-prosjektet offentliggjør manifestet for neste fase."
CURRENT,logistics_log_skipped,3339,Skipped order,Hoppet over bestilling
CURRENT,hud_ftlshipcontrolledbylogistics,3331,Ship is controlled by interstellar logistics,Skipet styres av interstellar logistikk
CURRENT,newmainmenu_invalidsavename,3329,Invalid Save Name,Ugyldig lagringsnavn
CURRENT,newmainmenu_invalidcharacters_caption,3329,Save name contains invalid characters.,Lagre navn inneholder ugyldige tegn.
CURRENT,newmainmenu_autosavenameinvalid_caption,3329,Save name reserved for autosaves.,Lagre navn reservert for automatisk lagring.
CURRENT,galaxymap_darkmode,3329,Dark Mode,Mørk modus
CURRENT,galaxymap_lightmode,3329,Light Mode,Lysmodus
CURRENT,techtree_queue,3329,Queue Research,Forskning i kø
CURRENT,logistics_showlog,3329,SHOW LOG,VIS LOGG
CURRENT,logistics_hidelog,3329,HIDE LOG,HIDE LOG
CURRENT,logistics_order_goandwait,3329,Go and Wait,Gå og vent
CURRENT,logistics_status_miningstacksnostorage,3329,"(*X/*Y stacks, storage full)","(*X/*Y stabler, lager fullt)"
CURRENT,logistics_status_miningstacksnostorage1,3329,"(*X stacks, storage full)","(*X stabler, lager fullt)"
CURRENT,logistics_status_collectcontainersnostorage,3329,"(*X/*Y containers, storage full)","(*X/*Y containere, lager full)"
CURRENT,logistics_status_collectcontainersnostorage1,3329,"(*X containers, storage full)","(*X containere, fullt lager)"
CURRENT,logistics_status_waiting,3329,Waiting T*X,Venter T*X
CURRENT,logistics_status_time,3329,in T*X,i T*X
CURRENT,logistics_status_warning,3329,Warning,Advarsel
CURRENT,logistics_status_alert,3329,Alert,Varsle
CURRENT,logistics_log_jumped,3329,Travelled to system S*X,Reiste til systemet S*X
CURRENT,logistics_log_jumpedstargate,3329,Travelled to system S*X through Stargate,Reiste til systemet S*X gjennom stjerneporten
CURRENT,logistics_log_transferto,3329,Transferred *X R*Y to L*Z,Overført *X R*Y til L*Z
CURRENT,logistics_log_transferfrom,3329,Transferred *X R*Y from L*Z,Overført *X R*Y fra L*Z
CURRENT,logistics_log_transferstoragefull,3329,(destination storage full),(destinasjonslageret er fullt)
CURRENT,logistics_log_waited,3329,Waited for T*X,Ventet på T*X
CURRENT,rating_trade,3329,Trade,Handel
CURRENT,dsi_action_confirmcancel,3329,Confirm cancellation,Bekreft avbestilling
CURRENT,dsi_x_confirmcancel1,3329,How dare you! I still have the access keys. You will no longer be a part of this enterprise.,Hvordan våger du! Jeg har fortsatt nøklene. Du vil ikke lenger være en del av dette foretaket.
CURRENT,dsi_x_confirmcancel2,3329,You will regret this.,Du vil angre på dette.
CURRENT,dsi_x_confirmcancel3,3329,"Goodbye, Captain.","Farvel, kaptein."
CURRENT,thefinalstand_boss_hint,3329,"Captain! The ship's weapons and engines are disabled, hit it with everything you've got!","Kaptein! Skipets våpen og motorer er deaktivert, slå til med alt dere har!"
CURRENT,thefinalstand_harken5,3329,The Stargate will fall back into our control. I've marked an allied shipyard on your map. I'll hide out there in the mean-time.,Stjerneporten vil falle tilbake under vår kontroll. Jeg har markert et alliert skipsverft på kartet ditt. Jeg gjemmer meg der i mellomtiden.
CURRENT,industryend_message,3329,"With Andromeda HQ captured, Cmdr Harken and the Intergalactic Security Council will dismantle the Andromeda Project conglomerate and regain control of the Stargate, for the benefit of all mankind.  A new chapter has begun, as mankind expands beyond our home galaxy and into the future.","Etter at Andromedas hovedkvarter er tatt til fange, vil kommandørkaptein Harken og Det intergalaktiske sikkerhetsrådet demontere Andromeda-prosjektets konglomerat og gjenvinne kontrollen over stjerneporten, til fordel for hele menneskeheten.  Et nytt kapittel har begynt, mens menneskeheten ekspanderer utover vår egen galakse og inn i fremtiden."
CURRENT,trade_autodisembarkat,3329,DISEMBARK ABOVE,GÅ I LAND OVER
CURRENT,logistics_status_transferto,3329,Transferring *X R*Y to L*Z,Overføring av *X R*Y til L*Z
CURRENT,logistics_status_transferfrom,3329,Transferring *X R*Y from L*Z,Overføring av *X R*Y fra L*Z
CURRENT,thefinalstand_harken1_intro,3329,"Captain! In direct violation of intergalactic law, the Andromeda Project has permanently closed access to the Stargate outside of their own ships. Colonists are stranded in the new sector, unable to return home.","Kaptein! I direkte strid med intergalaktisk lov har Andromeda-prosjektet stengt tilgangen til stjerneporten permanent for andre enn sine egne skip. Kolonistene er strandet i den nye sektoren, ute av stand til å vende hjem."
CURRENT,thefinalstand_battleoutro_ship1,3329,DANGER: POWER SYSTEMS DETERIORATING. POWER GRID OVERLOADED.\nNO POWER TO WEAPONS AND ENGINES.,FARE: KRAFTSYSTEMENE FORRINGES. STRØMNETTET OVERBELASTET.\nINGEN STRØM TIL VÅPEN OG MOTORER.
CURRENT,thefinalstand_battleoutro_harken3,3329,"It's over, Captain. The Andromeda HQ will be placed under the jurisdiction of the Intergalactic Security Council while I make the necessary arrests. The access codes for the Stargate are back under our control.","Det er over, kaptein. Andromeda-hovedkvarteret blir underlagt det intergalaktiske sikkerhetsrådet mens jeg foretar arrestasjonene. Adgangskodene til stjerneporten er tilbake under vår kontroll."
CURRENT,tutorial_ftladdftldrive,3329,Add one <b>FTL drive</b> to our order by clicking on the entry in the list.,Legg til en <b>FTL-drift</b> i bestillingen ved å klikke på oppføringen i listen.
CURRENT,tutorial_ftladdftlfuel,3329,<b>FTL drives</b> consume one fuel charge per jump.\n\nAdd 5 <b>FTL charges</b> to the order as well.,<b>FTL-drifter</b> bruker én drivstoffladning per hopp.\n\nLegg også til 5 <b>FTL-ladninger</b> i bestillingen.
CURRENT,tutorial_ftlinstallftl,3329,Install the <b>FTL drive</b> anywhere in your ship.,Installer <b>FTL-driften</b> hvor som helst i skipet ditt.
CURRENT,tutorial_ftlpowerftl,3329,Connect the <b>FTL drive</b> to your power network.,Koble <b>FTL-driften</b> til strømnettet.
CURRENT,tutorial_ftlstoragetoolbar,3329,"We can make things more efficient for our crew by telling them to store <b>FTL charges</b> near the <b>FTL drive</b>.\n\nSelect <b>STORAGE</b> from the <b>CONSTRUCTION</b> toolbar, then select <b>FTL charges</b> from the list.","Vi kan gjøre ting mer effektivt for Mannskapet vårt ved å be dem om å lagre <b>FTL-ladninger</b> i nærheten av <b>FTL-driften</b>.\n\nVelg <b>STORAGE</b> fra verktøylinjen <b>CONSTRUCTION</b>, og velg deretter <b>FTL-ladninger</b> fra listen."
CURRENT,tutorial_ftlstorageworld,3329,Now drag out a storage zone near to the <b>FTL drive</b>.,Dra ut en lagringssone i nærheten av <b>FTL-driften</b>.
CURRENT,tutorial_ftlstoragedone,3329,The crew will move all the <b>FTL charges</b> into this zone.,Mannskapet vil flytte alle <b>FTL-ladningene</b> inn i denne sonen.
CURRENT,tutorial_financesectormap,3329,"All passengers have been delivered to the <b>PROCYON</b>, and our <b>FTL drive</b> is operational. We must now plot an <b>FTL jump</b> to their destination.\n\nOpen the <b>SECTOR MAP</b>.","Alle passasjerer er levert til <b>PROCYON</b>, og <b>FTL-driften</b> vår er operativ. Vi må nå planlegge et <b>FTL-hopp</b> til destinasjonen deres.\n\nÅpne <b>sektorkartet</b>."
CURRENT,tutorial_financeftlwindow,3329,Open the <b>FTL screen</b> to order the <b>FTL jump</b>.,Åpne <b>FTL-skjermen</b> for å bestille <b>FTL-hoppet</b>.
CURRENT,tutorial_financepreparingjump,3329,"The <b>PROCYON</b> will align for hyperspace, and prepare the <b>FTL drive</b> to make the jump.",<b>PROCYON</b> vil justere seg mot hyperrommet og klargjøre <b>FTL-driften</b> for å hoppe.
CURRENT,tutorial_logisticscrewselectship,3329,Select the <b>UMC Astral Temptress</b>. \n\n As you can see it has no crew.,"Velg <b>UMC Astral Temptress</b>. \n\n Som du ser, har den ikke noe mannskap."
