state,key,svn,english,translation
NEW,settings_motionsicknessmode,3400,Motion Sickness Mode,Modo de enjoo
NEW,settings_motionsicknessmode_description,3400,"Background rotation is removed, which should help if you experience motion sickness in-game.","A rotação do plano de fundo foi removida, o que deve ajudar se você tiver enjoo durante o jogo."
NEW,settings_instantshipswitch_description,3400,"When switching between ships, skip the transition","Ao alternar entre navios, pule a transição"
NEW,newmainmenu_tests,3400,TESTS,TESTES
NEW,newmainmenu_instantshipswitch,3400,Switch instantly between ships,Alterne instantaneamente entre navios
NEW,newmainmenu_vsync,3400,V-Sync,V-Sync
NEW,hud_layer_neutralexpand,3400,*X NEUTRAL SHIPS,*X NAVIOS NEUTROS
NEW,hud_layer_neutralexpandtooltip,3400,Show neutral ships,Mostrar navios neutros
NEW,power_unit,3400,*X MW,*X MW
NEW,tactical_focuslayer,3400,FOCUS LAYER,CAMADA DE FOCO
NEW,tactical_tooltip_focuslayer,3400,"When enabled, the camera's rotation and position track the currently selected layer.","Quando ativadas, a rotação e a posição da câmera acompanham a camada selecionada no momento."
NEW,logistics_condition_untilstorage,3400,Quantity on board,Quantidade a bordo
NEW,logistics_quantity_all,3400,ALL,TODOS
NEW,logistics_quantity_full,3400,FULL,COMPLETO
NEW,logistics_extras_anycargo,3400,USE ANY CARGO STORAGE,USAR QUALQUER ARMAZENAMENTO DE CARGA
NEW,logistics_stuck_layernotours,3400,Ship L*X is not friendly,O navio L*X não é amigável
NEW,logistics_tooltip_controlall,3400,[CTRL] ALL,[CTRL] ALL
NEW,logistics_tooltip_controlfull,3400,[CTRL] FULL,[CTRL] COMPLETO
NEW,logistics_tooltip_noitemrequired,3400,This order does not require an item,Esse pedido não requer um item
NEW,logistics_tooltip_extrastoggleshow,3400,Show extra options for this order,Mostrar opções extras para este pedido
NEW,logistics_tooltip_extrastogglehide,3400,Hide extra options for this order,Ocultar opções adicionais para este pedido
NEW,logistics_tooltip_extrastogglenone,3400,No extra options available,Não há opções adicionais disponíveis
